sample_id,CGIAR_PET,CHELSA_BIO_Annual_Mean_Temperature,CHELSA_BIO_Annual_Precipitation,CHELSA_BIO_Max_Temperature_of_Warmest_Month,CHELSA_BIO_Precipitation_Seasonality,ConsensusLandCover_Human_Development_Percentage,ConsensusLandCoverClass_Barren,ConsensusLandCoverClass_Deciduous_Broadleaf_Trees,ConsensusLandCoverClass_Evergreen_Broadleaf_Trees,ConsensusLandCoverClass_Evergreen_Deciduous_Needleleaf_Trees,ConsensusLandCoverClass_Herbaceous_Vegetation,ConsensusLandCoverClass_Mixed_Other_Trees,ConsensusLandCoverClass_Shrubs,EarthEnvTexture_CoOfVar_EVI,EarthEnvTexture_Correlation_EVI,EarthEnvTexture_Homogeneity_EVI,EarthEnvTopoMed_AspectCosine,EarthEnvTopoMed_AspectSine,EarthEnvTopoMed_Elevation,EarthEnvTopoMed_Slope,EarthEnvTopoMed_TopoPositionIndex,EsaCci_BurntAreasProbability,GHS_Population_Density,GlobBiomass_AboveGroundBiomass,GlobPermafrost_PermafrostExtent,MODIS_NPP,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,SG_Depth_to_bedrock,SG_Sand_Content_005cm,SG_SOC_Content_005cm,SG_Soil_pH_H2O_005cm,Resolve_Biome,ECM_diversity,Pixel_Lat,Pixel_Long,CV_Fold
G5031,1557.0,199.4997205740097,1563.629638671875,331.51644497200925,20.398326873779297,0.0,0.0,13.0,11.0,44.0,0.0,32.0,0.0,317.0,1536.0,3832.0,0.8052660226821899,0.21322974562644958,32.0,0.5006667971611023,0.3125,0.0,0.22756609320640564,130.7244415283203,0.0,3237.204345703125,50.0,200.0,39.73072052001953,27.64124298095703,49.876068115234375,5,4.619960250412047,30.27916717529297,-94.5374984741211,1
S1165,1213.0,125.63387223199334,885.5617065429688,278.65060277399243,32.29667663574219,0.0,0.0,60.0,0.0,0.0,0.0,40.0,0.0,875.0,3576.0,2475.0,0.5311578512191772,0.2264617681503296,485.5,7.126504421234131,3.3125,0.0,0.0415390282869339,234.78648376464844,0.0,9742.580078125,1.0,199.07496643066406,37.35438919067383,56.37675476074219,58.96446228027344,12,4.53311545164739,43.079166412353516,11.195833206176758,1
Camila09,1222.0,259.48355989479114,3089.085205078125,299.5,30.499971389770508,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,986.0,5018.0,2126.0,0.5371107459068298,-0.4958028197288513,66.0,0.8420912027359009,-1.8125,0.0,0.0,180.64231872558594,0.0,9270.7783203125,48.0,200.0,21.90542984008789,47.70951461791992,57.38058090209961,1,3.9317275677569916,-4.354166507720947,-70.02916717529297,1
S305,1812.0,269.49996281600033,1030.7117919921875,360.5167140699996,64.00167083740234,0.0,0.0,8.0,0.0,0.0,0.0,92.0,0.0,242.0,1314.0,5345.0,-0.11976642906665802,-0.9179567098617554,226.0,1.1663246154785156,0.8125,8.556546211242676,0.0,30.984888076782227,0.0,4527.56884765625,1.0,200.0,50.9705924987793,17.92254066467285,62.086788177490234,7,3.09086063182601,8.762499809265137,-3.7708332538604736,1
S809,1415.9998779296875,150.38336317662893,743.1969604492188,267.36666692263015,51.205020904541016,27.0,4.0,15.0,0.0,0.0,0.0,39.0,16.0,352.0,986.0,4130.0,0.41948091983795166,-0.8038695454597473,578.0,13.008333206176758,-8.6875,0.0,0.0140411127358675,61.64710998535156,0.0,13367.5751953125,1.0,171.22531127929688,37.98118591308594,46.40824508666992,67.58856201171875,12,3.8285326717066996,37.88750076293945,14.129166603088379,2
S1326,745.0,72.53319184376402,670.5115356445312,223.53347241999836,25.700000762939453,18.0,0.0,0.0,0.0,1.0,0.0,52.0,0.0,1217.0,774.0,1683.0,0.1092836856842041,-0.130543053150177,66.0,1.9813148975372314,-1.25,0.0,0.0,98.82062530517578,0.0,5005.56689453125,1.0,192.38706970214844,55.75230026245117,104.2250747680664,51.790924072265625,4,3.135450760607433,54.88750076293945,24.079166412353516,1
S191,1865.0,217.51670435400044,1128.9146728515625,313.5167043540004,106.09996795654297,19.0,0.0,32.0,0.0,0.0,0.0,38.0,11.0,338.0,1552.0,3978.0,0.9013303518295288,-0.41834527254104614,1189.0,1.5126363039016724,0.75,1.558471441268921,0.0,91.87946319580078,0.0,7328.56787109375,1.0,200.0,53.9560546875,14.495848655700684,53.674049377441406,7,3.637507252611965,-11.479166984558105,27.670833587646484,2
G4216,731.0,58.5,737.716552734375,209.5,31.600000381469727,64.0,13.0,10.0,0.0,0.0,0.0,13.0,0.0,858.0,3777.0,2299.0,-0.9263017177581787,-0.3766249418258667,44.0,0.9391668438911438,0.875,0.0,9.838265419006348,48.91946792602539,0.0,4518.77099609375,31.0,200.0,57.144527435302734,70.40839385986328,61.64723587036133,4,3.47305283769702,59.37083435058594,24.587499618530273,2
G4701,727.0,58.5,693.5933227539062,214.5,32.50332260131836,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,835.0,3555.0,2139.0,0.8944265246391296,-0.31622859835624695,54.0,0.1577492207288742,0.0,0.0,4.8644280433654785,1.1157333850860596,0.0,4562.4541015625,50.0,200.0,49.880428314208984,34.213340759277344,65.27039337158203,4,3.7895163447332822,58.36249923706055,26.637500762939453,3
S034,952.0,72.48346549204942,763.3272705078125,246.48337994805004,83.70001983642578,13.0,6.0,39.0,0.0,0.0,0.0,30.0,0.0,1040.0,714.0,3210.0,0.25877195596694946,-0.5182793140411377,6.5,2.1433968544006348,-2.375,1.4672085046768188,0.10116838663816452,6.774044513702393,0.0,5767.40380859375,14.0,196.47718811035156,39.09782409667969,64.90975189208984,61.56734848022461,4,3.931707968570821,42.57083511352539,130.78750610351562,4
