sample_id,CGIAR_PET,CHELSA_BIO_Annual_Mean_Temperature,CHELSA_BIO_Annual_Precipitation,CHELSA_BIO_Max_Temperature_of_Warmest_Month,CHELSA_BIO_Precipitation_Seasonality,ConsensusLandCover_Human_Development_Percentage,EarthEnvTexture_CoOfVar_EVI,EarthEnvTexture_Correlation_EVI,EarthEnvTexture_Homogeneity_EVI,EarthEnvTopoMed_AspectCosine,EarthEnvTopoMed_AspectSine,EarthEnvTopoMed_Elevation,EarthEnvTopoMed_Slope,EarthEnvTopoMed_TopoPositionIndex,EsaCci_BurntAreasProbability,GHS_Population_Density,GlobBiomass_AboveGroundBiomass,MODIS_NPP,SG_Depth_to_bedrock,SG_Sand_Content_005cm,SG_SOC_Content_005cm,SG_Soil_pH_H2O_005cm,plant_diversity,climate_stability_index,sequencing_platform454Roche,sequencing_platformIllumina,sample_typerhizosphere_soil,sample_typesoil,sample_typetopsoil,primersAML1_AML2_then_AMV4_5NF_AMDGR,primersAML1_AML2_then_NS31_AM1,primersAML1_AML2_then_nu_SSU_0595_5__nu_SSU_0948_3_,primersAMV4_5F_AMDGR,primersAMV4_5NF_AMDGR,primersGeoA2_AML2_then_NS31_AMDGR,primersGeoA2_NS4_then_NS31_AML2,primersGlomerWT0_Glomer1536_then_NS31_AM1A_and_GlomerWT0_Glomer1536_then_NS31_AM1B,primersGlomerWT0_Glomer1536_then_NS31_AM1A__GlomerWT0_Glomer1536_then_NS31_AM1B,primersNS1_NS4_then_AML1_AML2,primersNS1_NS4_then_AMV4_5NF_AMDGR,primersNS1_NS4_then_NS31_AM1,primersNS1_NS41_then_AML1_AML2,primersNS31_AM1,primersNS31_AML2,primersWANDA_AML2,area_sampled,extraction_dna_mass,amf_sampling_density,Resolve_Biome,rwr,CV_Fold_Random,Pixel_Long,Pixel_Lat,CV_Fold_Spatial
S5669,950.0,30.4665279388428,532.548461914063,217.449798583984,48.9999961853027,0,646.0,1154.0,3665.0,-0.986118972301483,-0.0137710347771645,807.5,3.76091575622559,-4.5,0.0,0.0,52.4261322021484,4755.53466796875,200.0,46.5761489868164,201.474517822266,57.3732299804688,707.0,0.721223711967468,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.25,0.84877210855484,6,0.0111493693363992,1,-119.695831298828,54.8125,7
S1697,921.0,66.5,1030.853515625,257.483276367188,14.8999996185303,76,384.0,-542.0,2795.0,-0.316227436065674,0.707107126712799,17.5,0.134805351495743,-0.0625,0.0,2.37628841400147,0.868444442749023,4527.15087890625,200.0,29.2360038757324,72.0845489501953,59.0634002685547,1233.0,0.718187510967255,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,100.0,0.5,0.133889093995094,4,0.0412650000143362,1,-73.3708343505859,45.720832824707,5
S1051,1602.0,216.365951538086,1909.38037109375,285.349243164063,83.9016723632813,0,508.0,601.0,4172.0,-0.564423799514771,-0.590389311313629,1055.5,6.40317583084106,-6.125,0.6005539894104,0.0417237505316734,19.5687103271484,6318.15185546875,196.914260864258,47.8079452514649,21.5910415649414,53.1831779479981,1651.0,0.353987455368042,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100.0,5.0,0.0076217204332351,7,0.319854633664559,1,-47.4791679382324,-13.5625,7
S2094,1021.99993896484,-1.38251972198486,1379.70458984375,187.634185791016,22.5966567993164,0,1769.0,1322.0,2437.0,0.534149944782257,0.770572900772095,2094.5,18.3628196716309,-15.4375,0.0,0.0,1.08088886737823,1275.16369628906,82.6640853881836,48.9281578063965,121.654556274414,57.464786529541,1018.0,0.487811446189881,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0.25,0.36523112654686,5,0.0773167568374423,1,-113.345832824707,48.4625015258789,4
S3339,958.0,28.500280380249,663.287048339844,208.533157348633,62.7983245849609,0,360.0,909.0,4753.0,0.849775314331055,0.527144312858582,940.0,0.927456796169281,0.0625,0.0,0.0,141.326049804688,5829.951171875,197.402114868164,42.0813713073731,179.612014770508,54.9134330749512,729.0,0.751169860363007,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.25,0.915380001068115,5,0.0314516380364319,2,-117.970832824707,54.5875015258789,9
S3650,1214.0,169.467391967773,1571.87854003906,307.450866699219,56.2016525268555,41,765.0,475.0,2557.0,0.122175917029381,0.310281306505203,198.0,3.63102960586548,-4.8125,0.0,146.328628540039,22.3459548950195,6883.693359375,200.0,31.417200088501,20.2363700866699,61.7425346374512,2146.0,0.365885406732559,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.5,0.223375797271729,1,0.045796132301265,1,111.037498474121,29.654167175293,8
S5427,942.0,10.5334711074829,563.04248046875,193.566619873047,56.0100059509277,0,753.0,2920.0,3863.0,0.96480005979538,0.0912412628531456,1323.5,2.2123064994812,2.25,0.0,0.0,101.495109558105,4321.5390625,200.0,44.2741317749023,152.875381469727,54.2997741699219,855.0,0.705214321613312,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.25,0.912875831127167,5,0.0008837826470076,3,-118.604164123535,53.8791656494141,9
S2064,1374.0,74.4164047241211,418.045501708984,262.449371337891,89.4966735839844,89,1003.0,2580.0,2101.0,-0.679674804210663,-0.226327732205391,1293.5,2.2470281124115,-3.0,0.0,2.53773736953735,0.0796444416046143,2830.74951171875,200.0,44.8403282165527,13.2843141555786,78.6120300292969,1202.0,0.390023767948151,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,0.5,0.210938364267349,4,0.168475334081511,2,111.712501525879,38.3958320617676,9
S1286,1642.00012207031,174.532623291016,467.434814453125,227.533752441406,67.9000015258789,34,408.0,3318.0,3902.0,-0.753595352172852,-0.629436492919922,679.5,12.9011783599854,22.375,0.0,0.0,16.3829326629639,21028.220703125,192.752212524414,41.1635360717774,55.346248626709,62.2522087097168,2040.0,0.14584456384182,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100.0,5.0,0.0093410080298781,12,0.136556517473633,1,-16.3208332061768,28.529167175293,6
S3731,1628.0,202.499725341797,1342.60388183594,320.499725341797,40.8999748229981,0,204.0,2931.0,5772.0,0.706835865974426,0.284824341535568,31.0,1.38477170467377,-1.75,0.0,0.0435608327388763,139.772094726563,13784.4345703125,200.0,61.775562286377,47.6168594360352,52.9635391235352,1426.0,0.254275977611542,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100.0,2.0,0.0023648533970117,8,0.141792885413676,1,-82.4375,29.7374992370606,6
