CGIAR_PET,CHELSA_BIO_Annual_Mean_Temperature,CHELSA_BIO_Annual_Precipitation,CHELSA_BIO_Max_Temperature_of_Warmest_Month,CHELSA_BIO_Precipitation_Seasonality,ConsensusLandCover_Human_Development_Percentage,ConsensusLandCoverClass_Barren,ConsensusLandCoverClass_Deciduous_Broadleaf_Trees,ConsensusLandCoverClass_Evergreen_Broadleaf_Trees,ConsensusLandCoverClass_Evergreen_Deciduous_Needleleaf_Trees,ConsensusLandCoverClass_Herbaceous_Vegetation,ConsensusLandCoverClass_Mixed_Other_Trees,ConsensusLandCoverClass_Shrubs,EarthEnvTexture_CoOfVar_EVI,EarthEnvTexture_Correlation_EVI,EarthEnvTexture_Homogeneity_EVI,EarthEnvTopoMed_AspectCosine,EarthEnvTopoMed_AspectSine,EarthEnvTopoMed_Elevation,EarthEnvTopoMed_Slope,EarthEnvTopoMed_TopoPositionIndex,EsaCci_BurntAreasProbability,GHS_Population_Density,GlobBiomass_AboveGroundBiomass,GlobPermafrost_PermafrostExtent,MODIS_NPP,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,SG_Depth_to_bedrock,SG_Sand_Content_005cm,SG_SOC_Content_005cm,SG_Soil_pH_H2O_005cm,target_marker,sequencing_platform,sample_type,primers,Resolve_Biome,AMF_diversity,Pixel_Lat,Pixel_Long,CV_Fold
1304.0,181.46664428710938,1978.935302734375,326.483154296875,57.099998474121094,27.0,0.0,2.0,0.0,22.0,0.0,48.0,0.0,209.0,-907.0,5786.0,-0.9741510152816772,-0.07714108377695084,144.5,9.487226486206055,-3.1875,0.0,0.002344949636608362,47.795379638671875,0.0,5247.328125,1.0,200.0,30.050806045532227,21.63009262084961,58.144676208496094,2,0,2,5,4,0.0,29.120832443237305,117.9124984741211,1
560.0,12.432729721069336,759.1488037109375,188.41598510742188,30.903322219848633,0.0,0.0,25.0,0.0,7.0,0.0,68.0,0.0,729.0,4140.0,2801.0,-0.9566428065299988,-0.29126372933387756,123.5,7.41693115234375,0.25,0.0,0.0,98.14453125,0.0,3564.0185546875,1.0,200.0,59.30522537231445,141.50674438476562,47.30068588256836,1,3,2,24,6,0.0,66.50416564941406,22.629167556762695,1
711.0,51.5,728.9070434570312,207.4835205078125,34.6016731262207,62.0,7.0,3.0,0.0,0.0,8.0,20.0,0.0,370.0,2505.0,3248.0,0.19611498713493347,-0.8143398761749268,134.5,0.631089985370636,0.25,0.0,0.24094922840595245,23.12088966369629,0.0,4341.48193359375,43.0,200.0,46.843475341796875,65.00381469726562,62.860923767089844,0,1,2,3,4,0.0,59.087501525878906,26.47916603088379,2
1164.0,154.4826202392578,1452.92578125,308.48260498046875,38.6949462890625,99.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2608.0,2817.0,1781.0,0.37395691871643066,-0.8378344178199768,74.5,1.3540217876434326,-0.375,0.0,489.4573669433594,30.39288902282715,0.0,8675.2001953125,16.0,200.0,30.83078956604004,26.291980743408203,59.2201042175293,1,0,1,12,4,0.0,35.02916717529297,135.78750610351562,3
2787.0,208.4834747314453,258.8717041015625,360.5166931152344,41.90499496459961,0.0,0.0,0.0,0.0,0.0,0.0,16.0,84.0,240.0,1018.0,8511.0,0.6828048229217529,-0.7298425436019897,525.0,0.5770691633224487,-0.1875,0.4356251060962677,0.0,0.0,0.0,1516.4052734375,1.0,94.31918334960938,71.89989471435547,7.037451267242432,63.031982421875,2,1,2,5,13,0.0,-28.14583396911621,120.9625015258789,1
1189.0,106.4831771850586,585.6234130859375,204.5164031982422,14.200041770935059,69.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,922.0,4578.0,2019.0,0.6360974907875061,0.5642181038856506,364.0,0.5268274545669556,-0.6875,0.0,0.0,0.9927111268043518,0.0,8712.3134765625,2.0,199.9512481689453,64.67351531982422,37.94682693481445,64.6951675415039,2,1,2,5,4,5.0,-42.27916717529297,147.46249389648438,4
697.0,58.5,813.4765014648438,210.48353576660156,24.701648712158203,0.0,0.0,0.0,0.0,55.0,0.0,45.0,0.0,296.0,1831.0,5550.0,-0.8862886428833008,0.21775414049625397,119.0,0.9331565499305725,-0.875,0.0,0.0,123.60746765136719,0.0,6170.17138671875,27.0,200.0,56.96901321411133,173.79794311523438,43.26219940185547,1,0,2,23,6,0.0,59.662498474121094,15.362500190734863,2
958.0,54.60105514526367,500.9433898925781,239.63417053222656,21.401668548583984,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,490.0,1021.0,3990.0,-0.40151381492614746,0.914838433265686,930.0,12.968732833862305,5.0625,0.0,0.0,166.226318359375,0.0,5542.82275390625,1.0,200.0,44.534210205078125,112.16207122802734,58.92707061767578,1,0,2,10,5,0.0,50.92916488647461,-120.27916717529297,1
2988.0,233.5,317.9949645996094,368.5,65.30167388916016,0.0,54.0,0.0,0.0,0.0,0.0,0.0,46.0,381.0,1449.0,7778.0,-0.4875790476799011,0.15811441838741302,560.0,0.1577492207288742,0.0,0.012569931335747242,0.0,0.0,0.0,1051.0511474609375,50.0,200.0,74.19217681884766,4.189913749694824,74.2851791381836,2,1,2,5,13,0.0,-22.912500381469727,132.62083435058594,2
1268.0,124.39949035644531,717.0358276367188,286.39947509765625,39.4950065612793,71.0,20.0,9.0,0.0,0.0,0.0,0.0,0.0,460.0,1014.0,3310.0,-0.3488989472389221,0.45048725605010986,661.5,10.350881576538086,-9.5625,0.0,0.0,39.87235641479492,0.0,6659.37548828125,1.0,196.94210815429688,40.41641616821289,27.939613342285156,69.6181869506836,1,1,2,21,12,5.999000072479248,40.00416564941406,21.295833587646484,1
958.0,54.60105514526367,500.9433898925781,239.63417053222656,21.401668548583984,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,490.0,1021.0,3990.0,-0.40151381492614746,0.914838433265686,930.0,12.968732833862305,5.0625,0.0,0.0,166.226318359375,0.0,5542.82275390625,1.0,200.0,44.534210205078125,112.16207122802734,58.92707061767578,1,0,2,10,5,0.0,50.92916488647461,-120.27916717529297,2
1164.0,154.4826202392578,1452.92578125,308.48260498046875,38.6949462890625,99.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2608.0,2817.0,1781.0,0.37395691871643066,-0.8378344178199768,74.5,1.3540217876434326,-0.375,0.0,489.4573669433594,30.39288902282715,0.0,8675.2001953125,16.0,200.0,30.83078956604004,26.291980743408203,59.2201042175293,1,0,1,12,4,0.0,35.02916717529297,135.78750610351562,5
793.0,75.50030517578125,869.3887329101562,203.51705932617188,14.001673698425293,13.0,8.0,53.0,0.0,0.0,0.0,26.0,0.0,230.0,1812.0,3576.0,-0.926891028881073,0.05751626938581467,471.0,1.7503271102905273,2.25,0.0,0.0,173.25973510742188,0.0,6737.60009765625,1.0,199.92660522460938,25.059444427490234,95.10527038574219,53.403560638427734,2,0,2,5,4,1.0,51.27083206176758,10.237500190734863,6
663.0,43.51673889160156,706.7766723632812,198.5502471923828,32.09835433959961,0.0,0.0,0.0,0.0,36.0,0.0,64.0,0.0,624.0,2634.0,4076.0,0.7654263973236084,-0.3028097152709961,126.0,1.428774118423462,1.125,0.0,0.0,104.9349365234375,0.0,4677.60009765625,1.0,199.5269317626953,56.99150466918945,107.32784271240234,45.47724533081055,1,0,2,22,6,0.0,61.51250076293945,24.170833587646484,3
1039.0,82.66668701171875,3368.530029296875,223.68341064453125,49.0,86.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,779.0,4067.0,1577.0,0.05871320515871048,0.6229673624038696,1160.5,9.657880783081055,10.8125,0.5904683470726013,0.0,89.79199981689453,0.0,6763.03076171875,1.0,200.0,36.90245819091797,99.53409576416016,61.7751350402832,1,1,0,21,4,42.499000549316406,42.62083435058594,19.337499618530273,7
575.0,21.517301559448242,782.1323852539062,172.55052185058594,40.101646423339844,0.0,0.0,0.0,0.0,47.0,0.0,37.0,0.0,647.0,5497.0,3984.0,-0.9972270727157593,0.03123529441654682,550.0,0.6812912821769714,2.125,0.0,0.0,98.27057647705078,0.0,4766.60009765625,1.0,198.87420654296875,54.58982849121094,97.40786743164062,47.0,1,3,2,24,6,0.0,62.662498474121094,13.962499618530273,4
1202.0,177.5,1544.0513916015625,318.5,42.40332794189453,58.0,0.0,0.0,32.0,10.0,0.0,0.0,0.0,687.0,1888.0,4209.0,-0.13958117365837097,0.2847541272640228,36.0,0.5009394884109497,0.6875,0.0,4.234071254730225,2.8088889122009277,0.0,5329.18896484375,50.0,200.0,26.694103240966797,19.4200496673584,67.93384552001953,1,1,0,20,4,0.0,29.370832443237305,112.59583282470703,8
661.0,49.5,729.607421875,194.53350830078125,27.599971771240234,0.0,0.0,0.0,0.0,64.0,0.0,36.0,0.0,469.0,-844.0,4015.0,0.8797467947006226,-0.4282393455505371,40.0,0.42385900020599365,0.1875,0.0,0.0,121.2259521484375,0.0,5936.39990234375,50.0,197.6300506591797,62.05877685546875,212.06533813476562,44.15239715576172,1,0,2,10,6,0.0,61.704166412353516,21.704166412353516,5
1163.0,16.48347282409668,255.07655334472656,269.48345947265625,118.60165405273438,0.0,48.0,0.0,0.0,0.0,52.0,0.0,0.0,596.0,-497.0,4597.0,0.2236984670162201,-0.22637121379375458,582.0,1.1189578771591187,-1.5625,0.0,0.0,0.0,0.0,1505.984130859375,24.0,191.80068969726562,46.61227035522461,33.97454071044922,80.94602966308594,1,1,2,20,8,42.0,48.61249923706055,116.7874984741211,1
1688.9998779296875,220.33079528808594,2066.564453125,275.3480529785156,36.606651306152344,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,435.0,2620.0,2918.0,-0.18633604049682617,-0.964972972869873,184.5,16.688026428222656,-5.8125,0.0,0.0,173.04710388183594,0.0,16083.0810546875,1.0,144.6129150390625,51.73542404174805,32.910003662109375,54.93715286254883,1,0,2,10,1,1.0,-24.987499237060547,46.92916488647461,1
670.0,62.500282287597656,610.6968383789062,186.46678161621094,29.701677322387695,0.0,11.0,0.0,0.0,35.0,0.0,31.0,0.0,1066.0,1206.0,1917.0,-0.42582887411117554,0.5810577869415283,3.0,0.9653413891792297,-0.4375,0.0,5.371652603149414,66.11253356933594,0.0,6513.29541015625,22.0,159.55355834960938,53.47730255126953,119.18550109863281,51.03070068359375,1,3,1,20,4,1.0,60.34583282470703,19.929166793823242,9
1514.0,127.50028228759766,881.3355102539062,321.5169982910156,54.199974060058594,39.0,0.0,0.0,0.0,0.0,57.0,4.0,0.0,778.0,510.0,3344.0,0.9714105129241943,0.14673924446105957,361.5,2.361262083053589,-1.4375,0.8060045838356018,0.0,33.204978942871094,0.0,2870.9375,1.0,200.0,15.661138534545898,26.347654342651367,67.03620910644531,1,1,2,7,8,0.0,39.23749923706055,-96.60416412353516,2
