sample_id,CGIAR_PET,CHELSA_BIO_Annual_Mean_Temperature,CHELSA_BIO_Annual_Precipitation,CHELSA_BIO_Max_Temperature_of_Warmest_Month,CHELSA_BIO_Precipitation_Seasonality,ConsensusLandCover_Human_Development_Percentage,ConsensusLandCoverClass_Barren,ConsensusLandCoverClass_Deciduous_Broadleaf_Trees,ConsensusLandCoverClass_Evergreen_Broadleaf_Trees,ConsensusLandCoverClass_Evergreen_Deciduous_Needleleaf_Trees,ConsensusLandCoverClass_Herbaceous_Vegetation,ConsensusLandCoverClass_Mixed_Other_Trees,ConsensusLandCoverClass_Shrubs,EarthEnvTexture_CoOfVar_EVI,EarthEnvTexture_Correlation_EVI,EarthEnvTexture_Homogeneity_EVI,EarthEnvTopoMed_AspectCosine,EarthEnvTopoMed_AspectSine,EarthEnvTopoMed_Elevation,EarthEnvTopoMed_Slope,EarthEnvTopoMed_TopoPositionIndex,EsaCci_BurntAreasProbability,GHS_Population_Density,GlobBiomass_AboveGroundBiomass,GlobPermafrost_PermafrostExtent,MODIS_NPP,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,SG_Depth_to_bedrock,SG_Sand_Content_005cm,SG_SOC_Content_005cm,SG_Soil_pH_H2O_005cm,target_marker,sequencing_platform,sample_type,primers,Resolve_Biome,ECM_diversity,Pixel_Lat,Pixel_Long,source,CV_Fold
FMSA8F1054v2,1228.0,110.301513671875,2320.16284179688,280.285369873047,58.5,0.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,1111.0,1183.0,2335.0,-0.0227712169289589,0.836546003818512,441.0,13.0028448104858,-15.3125,0.0,0.00492644216865301,186.614761352539,0.0,7722.0234375,1.0,200.0,44.6886672973633,131.630889892578,55.3138122558594,0,1,2,11,5,5.521432902333095,44.2041664123535,-122.262496948242,GlobalFungi,1
S009264,882.0,84.4835205078125,579.806701660156,229.467041015625,36.6966819763184,12.0,0.0,28.0,0.0,0.0,0.0,61.0,0.0,364.0,1943.0,3379.0,-0.210603535175323,-0.661227464675903,427.0,6.99141311645508,8.0625,0.0,0.0,164.610488891602,0.0,6848.05517578125,1.0,200.0,38.5162200927734,63.4099769592285,52.0434036254883,0,1,2,11,4,3.58346341187656,49.3208351135254,16.654167175293,GlobalFungi,1
S009226,860.0,81.4830169677734,609.383605957031,225.466278076172,36.8983001708984,70.0,14.0,16.0,0.0,0.0,0.0,0.0,0.0,640.0,1600.0,2806.0,-0.954383909702301,0.239035397768021,500.5,2.92979407310486,-1.375,0.0,2.67187404632568,94.6631088256836,0.0,8127.33837890625,1.0,200.0,36.5185661315918,29.6961212158203,55.4089317321777,0,1,2,11,4,3.662946116717511,49.2958335876465,16.7625007629395,GlobalFungi,2
FMS25420v2,572.0,14.5167636871338,813.110473632812,192.51676940918,31.1016750335693,0.0,0.0,0.0,0.0,8.0,0.0,92.0,0.0,592.0,280.0,2887.0,-0.0249968115240335,0.988478422164917,96.0,1.3584771156311,0.1875,0.0,0.0,77.0392913818359,0.0,5252.91650390625,1.0,199.999420166016,62.4607353210449,161.088958740234,45.5869293212891,0,3,2,13,6,1.9451955917570556,66.5124969482422,22.6791667938232,GlobalFungi,1
FMS00399v3,863.0,92.3498611450195,2137.91333007813,230.349578857422,20.2000007629395,0.0,0.0,42.0,0.0,0.0,0.0,58.0,0.0,974.0,4199.0,1716.0,-0.881896018981934,-0.382344245910645,666.0,7.13332366943359,-6.125,0.0,0.0,216.029861450195,0.0,8098.259765625,1.0,200.0,28.9140663146973,95.7499389648438,59.8276481628418,0,1,2,10,4,1.9456244146597714,45.8291664123535,14.1041669845581,GlobalFungi,3
FMS00290v3,959.000061035156,108.349075317383,1811.7158203125,247.315811157227,21.4033203125,0.0,0.0,9.0,0.0,17.0,0.0,74.0,0.0,1007.0,4499.0,2593.0,0.159597337245941,-0.986307799816132,415.5,17.9695129394531,8.75,0.0,0.0123920124024153,154.600357055664,0.0,8387.7626953125,1.0,200.0,32.7939643859863,68.3162460327149,64.2416305541992,0,1,2,10,4,1.9456244146597714,45.845832824707,13.9708337783813,GlobalFungi,4
S005943,713.0,42.5999450683594,1351.75439453125,174.600219726563,18.6066703796387,0.0,0.0,0.0,0.0,85.0,0.0,15.0,0.0,688.0,1955.0,5817.0,0.917623698711395,0.397445261478424,1177.5,4.05536842346191,1.625,0.0,0.0,143.968170166016,0.0,6845.3232421875,1.0,139.227111816406,47.8839836120606,161.079635620117,44.1429061889648,0,1,2,11,4,4.55118910111078,49.0458335876465,13.6208333969116,GlobalFungi,5
S001626,716.0,56.4997634887695,853.809875488281,202.499755859375,23.7983531951904,0.0,0.0,11.0,0.0,41.0,0.0,48.0,0.0,1215.0,3886.0,1845.0,-0.96104097366333,0.275577157735825,203.5,4.57040405273438,3.125,0.0,0.0,107.417778015137,0.0,5744.9560546875,1.0,194.327697753906,56.8148307800293,103.781204223633,44.8448905944824,0,0,2,12,6,4.614704590584692,59.2708320617676,14.8458337783813,GlobalFungi,2
N1647,654.0,83.4667892456055,793.347534179688,201.45002746582,20.1033210754395,25.0,8.0,21.0,0.0,0.0,10.0,21.0,0.0,947.0,-262.0,2112.0,-0.828890085220337,-0.548997104167938,38.0,3.44322633743286,-0.0625,0.0,0.420889019966126,137.654754638672,0.0,7503.0,6.0,197.777481079102,56.3572959899902,108.854454040527,52.4332809448242,0,1,2,11,4,4.26618079167236,55.6958351135254,9.72916698455811,GlobalFungi,6
FMS02388v3,513.0,-4.48325777053833,767.734252929688,164.500259399414,32.0,0.0,0.0,0.0,0.0,53.0,0.0,47.0,0.0,434.0,3519.0,4875.0,0.944891452789307,-0.321519285440445,313.0,3.29707765579224,-2.0,0.0,0.0,78.7637329101563,0.000655104697216302,3781.51635742188,1.0,172.53092956543,58.8130989074707,123.901069641113,48.9859046936035,0,0,2,11,6,4.762387600225049,67.7624969482422,29.5874996185303,GlobalFungi,3
