sample_id,latitude,longitude,myco_diversity,est_s_e,x95_percent_lower,x95_percent_upper,raw_obs_div,sample_type,sequencing_platform,target_marker,primers,top,bot,core_length,seq_depth
FMS00238v3,52.04222,6.020833,12.996,11.656,5.987,69.786,5,soil,Illumina,ITS2,fITS9/ITS4,,,,1950
FMS00240v3,52.04222,6.020833,1,0.082,1,1.168,1,soil,Illumina,ITS2,fITS9/ITS4,,,,2178
FMS00241v3,52.0175,5.976667,1,0.482,1,3.077,1,soil,Illumina,ITS2,fITS9/ITS4,,,,5771
FMS00242v3,46.25306,14.974722,6.999,4.341,4.373,28.087,4,soil,Illumina,ITS2,fITS9/ITS4,,,,3339
FMS00243v3,52.04222,6.020833,1,0.482,1,3.077,1,soil,Illumina,ITS2,fITS9/ITS4,,,,5901
FMS00244v3,45.86333,14.055556,0,0,0,0,0,soil,Illumina,ITS2,fITS9/ITS4,,,,3302
FMS00245v3,52.04222,6.020833,2,0.489,2,3.64,2,soil,Illumina,ITS2,fITS9/ITS4,,,,5645
FMS00247v3,46.25306,14.974722,9.993,6.963,4.979,40.683,4,soil,Illumina,ITS2,fITS9/ITS4,,,,855
FMS00248v3,46.25306,14.974722,3.5,1.322,3.03,11.435,3,soil,Illumina,ITS2,fITS9/ITS4,,,,1062
FMS00249v3,52.04222,6.020833,0,0,0,0,0,soil,Illumina,ITS2,fITS9/ITS4,,,,2978
FMS00250v3,40.00722,21.298056,18.497,17.135,7.665,99.81,6,soil,Illumina,ITS2,fITS9/ITS4,,,,3727
FMS00251v3,52.0175,5.976667,4,2.121,3.077,15.922,3,soil,Illumina,ITS2,fITS9/ITS4,,,,9729
FMS00252v3,45.84556,13.9675,38.495,31.102,17.589,181.173,14,soil,Illumina,ITS2,fITS9/ITS4,,,,4539
FMS00253v3,46.56028,16.616111,3,2.041,2.081,14.322,2,soil,Illumina,ITS2,fITS9/ITS4,,,,2818
FMS00254v3,46.20278,14.648611,1,0.482,1,3.077,1,soil,Illumina,ITS2,fITS9/ITS4,,,,4987
FMS00255v3,46.25306,14.974722,10.999,7.012,5.973,41.988,5,soil,Illumina,ITS2,fITS9/ITS4,,,,10378
FMS00256v3,52.0175,5.976667,6,4.286,3.38,26.705,3,soil,Illumina,ITS2,fITS9/ITS4,,,,7500
FMS00257v3,52.04222,6.020833,0,0,0,0,0,soil,Illumina,ITS2,fITS9/ITS4,,,,4239
FMS00258v3,46.18556,15.095278,5.999,4.285,3.38,26.701,3,soil,Illumina,ITS2,fITS9/ITS4,,,,3555
FMS00259v3,52.04222,6.020833,3,0.5,3,4.569,3,soil,Illumina,ITS2,fITS9/ITS4,,,,3777
FMS00260v3,40.00722,21.298056,34.493,31.1,13.589,177.165,10,soil,Illumina,ITS2,fITS9/ITS4,,,,3678
