sample_id,CGIAR_PET,CHELSA_BIO_Annual_Mean_Temperature,CHELSA_BIO_Annual_Precipitation,CHELSA_BIO_Max_Temperature_of_Warmest_Month,CHELSA_BIO_Precipitation_Seasonality,ConsensusLandCover_Human_Development_Percentage,EarthEnvTexture_CoOfVar_EVI,EarthEnvTexture_Correlation_EVI,EarthEnvTexture_Homogeneity_EVI,EarthEnvTopoMed_AspectCosine,EarthEnvTopoMed_AspectSine,EarthEnvTopoMed_Elevation,EarthEnvTopoMed_Slope,EarthEnvTopoMed_TopoPositionIndex,EsaCci_BurntAreasProbability,GHS_Population_Density,GlobBiomass_AboveGroundBiomass,MODIS_NPP,SG_Depth_to_bedrock,SG_Sand_Content_005cm,SG_SOC_Content_005cm,SG_Soil_pH_H2O_005cm,sequencing_platform454Roche,sequencing_platformIllumina,sample_typerhizosphere_soil,sample_typesoil,sample_typetopsoil,primersAML1_AML2_then_AMV4_5NF_AMDGR,primersAML1_AML2_then_NS31_AM1,primersAML1_AML2_then_nu_SSU_0595_5__nu_SSU_0948_3_,primersAMV4_5F_AMDGR,primersAMV4_5NF_AMDGR,primersGeoA2_AML2_then_NS31_AMDGR,primersGeoA2_NS4_then_NS31_AML2,primersGlomerWT0_Glomer1536_then_NS31_AM1A_and_GlomerWT0_Glomer1536_then_NS31_AM1B,primersGlomerWT0_Glomer1536_then_NS31_AM1A__GlomerWT0_Glomer1536_then_NS31_AM1B,primersNS1_NS4_then_AML1_AML2,primersNS1_NS4_then_AMV4_5NF_AMDGR,primersNS1_NS4_then_NS31_AM1,primersNS1_NS41_then_AML1_AML2,primersNS31_AM1,primersNS31_AML2,primersWANDA_AML2,Resolve_Biome,arbuscular_mycorrhizal_richness,Pixel_Lat,Pixel_Long,CV_Fold_Random,CV_Fold_Spatial,MEM1,MEM4,MEM6,MEM7,MEM8,MEM9,MEM10,MEM11,MEM13,MEM18,MEM19,MEM20,MEM30,MEM35,MEM37,MEM45,MEM51,MEM52,MEM58,MEM81
S3363,1764,247.5,1121.76147460937,331.5,86.5999984741211,18,357,1970,3870,0.31622725725174,0.353553652763367,28,0.180314883589745,0.25,1.68552076816559,0,42.5550231933594,8134.94921875,200,64.4683074951172,13.4860734939575,62.6426887512207,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,7,-18.9375,34.4541664123535,1,10,-0.700481283537196,1.27746339609078,1.13099790810554,-0.352634231358199,-0.585856718554,0.385187437332244,0.815383377216669,0.0570700224316319,0.446542952154688,0.43264420836965,0.0162480869836381,0.854939367044879,0.525712026402475,-0.156065502537012,-0.311502771906884,-0.0232340317710326,-0.740098661770493,0.208952956765148,0.0569534573645451,-0.162568490993375
S6768,1260,126.599873941692,3311.09692382813,180.566476053691,24.2983322143555,0,266,-809,5397,0.178679093718529,0.983178436756134,1849,5.4882984161377,-1.25,0,0,12.07164478302,9696.0947265625,198.757888793945,42.4642868041992,173.340545654297,52.8579063415527,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,16.7329998016357,19.8208332061768,-155.320831298828,1,4,-0.460946116661081,0.050193472855019,-0.103674577104599,0.513822922878696,-0.0882437986465796,-0.716059592089096,0.224168020773641,-0.681902920733517,2.82426013483454,-5.5984757563906,1.99278472616763,-1.90723438916214,-0.158581472865896,0.32812122418203,-0.180994153637821,0.152675837170691,0.0842490605030673,-0.121739484911849,-0.023305501419326,0.00167248031545439
S5035,1214,169.467395017737,1571.87854003906,307.450869726989,56.2016525268555,41,765,475,2557,0.122175917029381,0.310281306505203,198,3.63102960586548,-4.8125,0,146.328628540039,22.3459548950195,6883.693359375,200,31.417200088501,20.2363700866699,61.7425346374512,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27.9969997406006,29.654167175293,111.037498474121,1,10,1.33183334433744,-0.0521715581003218,0.0576159527907744,-0.101704482466514,-0.034253346010827,0.0847622022998214,0.0921113060182312,0.774391504024026,0.78057071434257,0.201627913363866,0.445318724087682,-0.571777698428273,0.274296108553251,0.295830513232095,0.839247207139343,-0.0905120949486608,0.895265730291119,-0.0147434685162342,-0.179328883189306,0.103319150502405
S944,1555,251.533182396502,1617.13464355469,311.5,52.1966857910156,88,321,2928,4293,0.0968419760465622,0.847387313842773,119,1.10477316379547,-0.25,0,0,108.002136230469,8016.1640625,200,64.9689331054688,19.4438076019287,49.8663673400879,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,94,5.25416660308838,-6.50416660308838,2,10,-0.810399858726045,-2.69769807884518,-1.62913916546405,-0.144677325763853,0.999486644614584,-0.0557150133353736,-1.05982766538556,1.00138103136641,0.485933201550061,0.215499353416267,-0.709233800723961,-0.482522982209404,0.00937311830698844,0.493712381345132,0.622532331703058,-0.510571630461759,-0.136491332324823,-0.13735125491312,-0.383904067212595,0.223786874773272
S7581,934,16.5167746339976,602.65283203125,206.516774633998,65.2983551025391,0,986,3801,2360,0.939625978469849,-0.34219628572464,1161.5,2.06214833259583,-0.875,0,0,82.9573364257813,5853.595703125,200,37.3474311828613,150.082870483398,54.9116744995117,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,53.8041648864746,-117.329170227051,1,7,-0.649179261007808,0.00136062425318652,-0.351909635831165,0.768519445239325,-0.208745070774586,0.625077963266578,-0.0777867649295543,0.111681067406699,-0.0725449377507769,0.0139725217862829,0.19788158460223,0.070454892625597,-0.0343054806026866,0.03175953294331,-0.0251827500497943,0.113561533104307,-0.473762461928924,-1.43494139460763,-0.248363410222712,1.27617426211969
S4686,959,29.516736053999,629.940307617188,209.533472107998,63.5982971191406,0,799,700,2651,0.893956899642944,0.19624337553978,931,2.0269079208374,1.5,0,0,123.628974914551,6371.49169921875,196.767944335938,39.6119804382324,161.770156860352,54.2619667053223,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,54.5625,-118.0625,2,7,-0.645077034851878,0.00586081231021092,-0.368135159529169,0.850761393475278,-0.230293106707986,0.64269366833169,-0.0744436769780921,0.119290045161537,-0.258467920902398,-0.102221180626697,0.210415942057036,0.0687689529459605,0.0772268498608657,-0.184326221674718,0.0758368064469504,-0.0838807426942591,0.0875328966289614,0.0536283154606813,0.280319788533931,-0.105671675025971
S5108,922,26.5164175108955,593.220336914063,214.516696942001,61.2033157348633,0,884,3874,2619,-0.263716578483582,0.585990607738495,1097,1.72063374519348,2.875,0,0,100.169067382813,5081.91796875,200,36.0678749084473,129.343063354492,63.4152412414551,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,53.3375015258789,-116.920829772949,3,7,-0.653206502935505,-0.00344062432623977,-0.334069140632731,0.682991707582705,-0.186541504959342,0.608018731776037,-0.0820144781242274,0.111685691277882,0.0353010741698197,0.0962179841181951,0.182673994788052,0.0777407071590459,-0.190087253456841,0.471723584264736,-0.206162274383545,0.303410832627628,-0.690729939624635,-1.76212743527783,-0.717587828034732,-1.13959379110744
S2292,788,75.5499924108601,923.760314941406,208.549712003728,21.495002746582,23,337,2957,4168,0.237773805856705,0.744687497615814,719.5,2.84063601493835,4.875,0,0,94.2636413574219,7244.19873046875,200,26.1248283386231,53.933780670166,58.1777229309082,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,24,48.4625015258789,9.46249961853027,1,3,-1.14805619024632,-0.17098222734765,0.832659738229855,-0.306593168663883,-0.847718786031216,0.282448773211762,1.19318405893207,-1.00240410763328,-0.376427616329969,0.0166836998424753,-0.984800562802521,-0.714704278045138,1.24664943827919,-0.566487311671351,-0.289468419061442,-0.44594867057408,0.0840062289060508,-0.226277773009572,0.542770498974953,0.0536002739680072
S1173,1928,251.632092794639,1726.14770507813,396.63181201597,122.800041198731,36,251,3354,5427,0.62494558095932,0.766026616096497,513,11.6344470977783,2.875,3.27593946456909,0,90.8135147094727,5562.67919921875,112.319374084473,34.471004486084,31.1316299438477,62.2524757385254,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,60,22.3708324432373,81.904167175293,3,4,0.76097499270604,1.19800992616176,-3.13183205698163,-1.11483533588156,-1.27964205950273,0.78337536909169,0.644627807157055,-0.572173774158344,1.65233712921377,-2.00468532934999,0.10799149551521,-0.695261879165955,-1.24259476336928,-2.03216600597488,-1.94301405719297,2.88128744601825,0.302793448598607,2.21859744476738,-0.0815259407416966,-1.81263424687661
S3596,1239,78.6171680499865,380.879180908203,252.616886965102,89.0983428955078,10,1033,2708,4581,0.990202128887177,0.0144090503454208,1770.5,8.46897506713867,6.6875,0,0,0,1978.23059082031,200,33.9887351989746,11.4239673614502,82.1241683959961,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20.4990005493164,36.4458351135254,105.912498474121,1,1,1.32624732589741,0.173341918561878,-0.468638037067313,-0.0811114964045115,0.469720975011991,0.0771434957797989,1.13285009771446,0.659599656210383,-0.321648371830365,-0.99659940832108,-0.288120124230127,0.136245111692398,-1.22082307165294,-0.524225786973542,0.316933014921252,-0.742466069732457,-0.285281606730348,-0.762372827199813,-0.509822348715698,0.0385864463414845
