sample_id,CGIAR_PET,CHELSA_BIO_Annual_Mean_Temperature,CHELSA_BIO_Annual_Precipitation,CHELSA_BIO_Max_Temperature_of_Warmest_Month,CHELSA_BIO_Precipitation_Seasonality,ConsensusLandCover_Human_Development_Percentage,ConsensusLandCoverClass_Barren,ConsensusLandCoverClass_Deciduous_Broadleaf_Trees,ConsensusLandCoverClass_Evergreen_Broadleaf_Trees,ConsensusLandCoverClass_Evergreen_Deciduous_Needleleaf_Trees,ConsensusLandCoverClass_Herbaceous_Vegetation,ConsensusLandCoverClass_Mixed_Other_Trees,ConsensusLandCoverClass_Shrubs,EarthEnvTexture_CoOfVar_EVI,EarthEnvTexture_Correlation_EVI,EarthEnvTexture_Homogeneity_EVI,EarthEnvTopoMed_AspectCosine,EarthEnvTopoMed_AspectSine,EarthEnvTopoMed_Elevation,EarthEnvTopoMed_Slope,EarthEnvTopoMed_TopoPositionIndex,EsaCci_BurntAreasProbability,GHS_Population_Density,GlobBiomass_AboveGroundBiomass,GlobPermafrost_PermafrostExtent,MODIS_NPP,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,SG_Depth_to_bedrock,SG_Sand_Content_005cm,SG_SOC_Content_005cm,SG_Soil_pH_H2O_005cm,target_marker,sequencing_platform,sample_type,primers,Resolve_Biome,arbuscular_mycorrhizal_richness,Pixel_Lat,Pixel_Long,source,CV_Fold
GF4T44otu,1126.0,100.81728623163407,1973.3720703125,160.83400404963405,37.091670989990234,0.0,0.0,0.0,78.0,0.0,10.0,12.0,0.0,861.0,5083.0,2535.0,0.8460936546325684,0.5106239318847656,3452.5,16.827320098876953,2.875,0.0,0.0,150.68763732910156,0.0,9727.150390625,1.0,99.59766387939453,46.653419494628906,198.0889892578125,50.37244415283203,2,4,1,25,1,0.6931471805599453,5.7208333015441895,-73.42916870117188,GlobalFungi,1
GF4S12595b,1151.0,145.5832431338198,2208.7138671875,264.5499845339097,58.59831619262695,31.0,0.0,0.0,0.0,17.0,0.0,23.0,0.0,336.0,3303.0,4024.0,0.8127995729446411,0.5483177900314331,295.0,2.882781744003296,2.5,0.0,0.0,67.64604187011719,0.0,11716.1982421875,1.0,200.0,35.30135726928711,58.270870208740234,54.36581802368164,1,2,1,12,4,2.0794415416798357,33.47916793823242,126.72916412353516,GlobalFungi,1
GF3S03471a,1246.0,142.5165238531967,605.7614135742188,297.51680493800086,77.5949935913086,74.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1790.0,1423.0,1334.0,-0.28967225551605225,0.5916954278945923,518.0,0.4122178554534912,0.4375,0.0,1988.90380859375,0.0,0.0,3425.289794921875,12.0,200.0,22.39212989807129,10.475255012512207,79.28593444824219,1,2,0,12,4,0.6931471805599453,34.287498474121094,108.07083129882812,GlobalFungi,2
FMS16BI1930v2,1654.0,144.4990310688485,776.0280151367188,258.48289959561964,56.394981384277344,13.0,0.0,0.0,64.0,0.0,0.0,23.0,0.0,902.0,2745.0,2060.0,0.32910075783729553,-0.8296526670455933,305.0,5.038835525512695,7.375,0.25100722908973694,0.0,107.87964630126953,0.0,8680.982421875,1.0,200.0,71.12284088134766,33.18352127075195,56.093990325927734,2,2,1,5,12,0.0,-35.10416793823242,138.6875,GlobalFungi,1
GF4S20250b,747.0,67.48323580999931,640.8838500976562,199.49971940095426,29.50332260131836,0.0,0.0,31.0,0.0,0.0,0.0,69.0,0.0,1082.0,4726.0,2180.0,-0.5773509740829468,-0.428278386592865,15.0,0.46684378385543823,-0.625,0.0,0.06701411306858063,59.193599700927734,0.0,7095.0927734375,37.0,171.30943298339844,64.28458404541016,91.30045318603516,55.92374801635742,2,4,1,25,4,1.3860443479890243,58.62083435058594,23.179166793823242,GlobalFungi,3
GF4S08074b,1441.0,220.43465066957185,1886.4395751953125,297.4346506695719,80.9949722290039,10.0,0.0,0.0,40.0,0.0,0.0,38.0,12.0,578.0,3651.0,2914.0,-0.6221657395362854,-0.6205838322639465,855.0,15.613021850585938,1.5,0.0,0.6285524368286133,106.2069320678711,0.0,13403.58203125,1.0,150.87332153320312,37.6452522277832,39.378360748291016,54.23492431640625,1,1,2,35,1,3.9889840465642745,21.612499237060547,101.57083129882812,GlobalFungi,2
GF4T1248otu,1941.0,178.5,738.1224365234375,267.5,96.7016372680664,19.0,0.0,19.0,0.0,0.0,0.0,36.0,25.0,281.0,1846.0,5265.0,-0.40825244784355164,-0.8467748165130615,1464.5,1.345027208328247,2.0,0.0,0.0,48.49422073364258,0.0,5106.44970703125,1.0,200.0,68.94259643554688,13.32310962677002,58.0843620300293,2,4,1,25,7,1.9459101490553132,-19.879167556762695,29.462499618530273,GlobalFungi,1
GF4S21712b,738.0,50.36587888177711,1235.57763671875,183.2827465842387,21.81171989440918,0.0,0.0,0.0,0.0,67.0,0.0,33.0,0.0,1002.0,4761.0,2393.0,-0.9358476400375366,0.23486806452274323,1067.0,9.180793762207031,-8.0625,0.0,0.0,179.3415069580078,0.0,6603.10693359375,1.0,190.32098388671875,50.24612045288086,148.73045349121094,44.408973693847656,2,4,1,25,4,0.0,48.97916793823242,13.8125,GlobalFungi,4
GF4T264otu,1939.0,96.51667436200114,593.9952392578125,255.51695367504294,61.00501251220703,0.0,0.0,0.0,0.0,45.0,10.0,22.0,22.0,550.0,1367.0,3758.0,0.33833879232406616,0.8895032405853271,2417.5,9.960121154785156,-13.5625,0.4385964870452881,0.49164697527885437,13.516444206237793,0.0,1879.7017822265625,1.0,137.59786987304688,44.027313232421875,30.273128509521484,63.210052490234375,2,4,1,25,3,0.0,32.4375,-110.76249694824219,GlobalFungi,1
GF4S20108b,728.0,58.5,695.6417846679688,214.4835147629551,32.60332107543945,92.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,927.0,3752.0,2377.0,0.3162265121936798,-0.9486837387084961,64.0,0.4294607639312744,0.125,0.0,6.161219120025635,2.2040889263153076,0.0,4667.935546875,50.0,200.0,53.19064712524414,33.92695236206055,64.6996841430664,2,4,1,25,4,4.128488300890302,58.36249923706055,26.662500381469727,GlobalFungi,5
