Feature,Mean SHAP Value
Project Variables,0.0917483678440843
Human Development,0.09157011207793561
SOC at 5cm,0.06647274894181074
Annual Mean Temperature,0.0634821185963989
Potential Evapotranspiration,0.06000919710409409
Climate Stability Index,0.04199126782922268
Precipitation Seasonality,0.0374583443320961
Max. Temperature of Warmest Month,0.03602288409212515
Elevation,0.035655585357627494
Plant Diversity,0.03544143618168411
Aboveground Biomass,0.0284648024214484
Sand Content at 5cm,0.024206183113895326
Annual Precipitation,0.023078400099488264
Soil pH at 5cm,0.018979075078519467
Slope,0.01681963555729811
Aspect Sine,0.016455733791600008
Net Primary Productivity,0.01620112656647082
Homogeneity EVI,0.014590767118595319
Aspect Cosine,0.013504462502064692
Correlation EVI,0.01237532366804524
Coef. of Var. EVI,0.009418100918467546
Topo. Position Index,0.00751105949490228
Population Density,0.006061795202604296
Depth to Bedrock,0.005101801902216781
Burnt Areas Probability,0.003697691413483414
