Feature,Mean SHAP Value
Project Variables,0.2841874008030035
Climate Stability Index,0.05944005872099032
Aboveground Biomass,0.04747691211817079
Elevation,0.04063755554587436
Potential Evapotranspiration,0.03858236034535445
Slope,0.03349283696002969
Annual Mean Temperature,0.021682382786103994
Precipitation Seasonality,0.02137692380571034
Annual Precipitation,0.02026590509283679
Topo. Position Index,0.01989415862796904
Depth to Bedrock,0.01893001884182632
Plant Diversity,0.01814290231915283
SOC at 5cm,0.017407301743084903
Human Development,0.014824699136091357
Max Temperature of Warmest Month,0.01373061252170236
Net Primary Productivity,0.013179323974950688
Soil pH at 5cm,0.012801912703331938
Sand Content at 5cm,0.0103281538395018
Coef. of Var. EVI,0.009505286620298871
Population Density,0.008167153421922264
Homogeneity EVI,0.0078060659372107015
Aspect Sine,0.007505552114866024
Aspect Cosine,0.006159610405118725
Correlation EVI,0.00489539782932738
Burnt Areas Probability,0.0038410052364827676
