Feature,Mean SHAP Value
Project Variables,0.02445762594503426
Annual Mean Temperature,0.012200027560891813
Potential Evapotranspiration,0.011411250910743754
SOC at 5cm,0.005078455727025722
Max Temperature of Warmest Month,0.004915549641293172
Precipitation Seasonality,0.004842921578467655
Human Development,0.0044067805600202185
Climate Stability Index,0.0037084577464769784
Elevation,0.0033653550934199736
Sand Content at 5cm,0.0022992951823551065
Annual Precipitation,0.0021086018699726407
Aspect Sine,0.0017476387397592388
Soil pH at 5cm,0.001610515588285072
Net Primary Productivity,0.0016065850134134455
Slope,0.0015326825763268574
Plant Diversity,0.0014398011838059651
Depth to Bedrock,0.001418994072647017
Aspect Cosine,0.0014046414526926437
Topo. Position Index,0.0009493922922380746
Homogeneity EVI,0.0008239194611341364
Coef. of Var. EVI,0.0007641322895484745
Population Density,0.0007636831843457611
Correlation EVI,0.0007544141300070049
Aboveground Biomass,0.0007369593216985995
Burnt Areas Probability,0.0006071822544508593
