Feature,Mean SHAP Value
Project Variables,0.3038690187655761
Aboveground Biomass,0.05133688630736824
Climate Stability Index,0.04124894374259322
Elevation,0.033862430187511915
Slope,0.02960415223583962
Potential Evapotranspiration,0.023761988014941886
Annual Mean Temperature,0.020228440538951262
Precipitation Seasonality,0.017049458233863782
Topo. Position Index,0.01703781405597639
Depth to Bedrock,0.015640518544997706
Soil pH at 5cm,0.015350077366406985
Annual Precipitation,0.01531894313509362
SOC at 5cm,0.014686141539314189
Plant Diversity,0.013294776965888799
Max Temperature of Warmest Month,0.011407201827045603
Net Primary Productivity,0.011234726096985817
Human Development,0.009942271011527426
Coef. of Var. EVI,0.009335070908102016
Sand Content at 5cm,0.008279104179902318
Aspect Sine,0.006950472379840625
Homogeneity EVI,0.006530921415875891
Aspect Cosine,0.005222221862823005
Population Density,0.004709801810390025
Correlation EVI,0.0045560343097066445
Burnt Areas Probability,0.0029258717586017136
