Feature,Mean SHAP Value
Project Variables,0.28774013457323133
Aboveground Biomass,0.14229362102790194
Annual Mean Temperature,0.11454816277736567
Max Temperature of Warmest Month,0.09949933295252855
SOC at 5cm,0.0989970731433082
Potential Evapotranspiration,0.07181989599676361
Slope,0.053851953020111774
Soil pH at 5cm,0.053026938895019485
Annual Precipitation,0.05003292748713631
Elevation,0.04957640597673886
Human Development,0.046652275474736694
Population Density,0.0384741223912009
Precipitation Seasonality,0.035508072653406296
Sand Content at 5cm,0.03353506846050026
Net Primary Productivity,0.03174213491790286
Depth to Bedrock,0.024694447290557822
Topo. Position Index,0.021927943172561342
Coef. of Var. EVI,0.016939995002974332
Aspect Sine,0.014681264346128637
Homogeneity EVI,0.014007059676227595
Aspect Cosine,0.01393746038946793
Correlation EVI,0.012925844069520945
Burnt Areas Probability,0.0037324251646792283
