Feature,Mean SHAP Value
Project Variables,0.26001015571213104
Sampling Density,0.16643014753849059
Aboveground Biomass,0.06139356479982064
Potential Evapotranspiration,0.03897286462599935
Elevation,0.03601873769207082
Slope,0.030739784553687692
Annual Mean Temperature,0.023033272507954356
Precipitation Seasonality,0.021645331241325443
Topo. Position Index,0.020723408994142763
Depth to Bedrock,0.018433953319647187
Net Primary Productivity,0.017437375090760647
Soil pH at 5cm,0.017081515662622695
Annual Precipitation,0.01673078858228563
SOC at 5cm,0.01372724804247059
Max Temperature of Warmest Month,0.013295874483672443
Human Development,0.011276623887313602
Sand Content at 5cm,0.010931701879300931
Coef. of Var. EVI,0.010165832451668735
Aspect Sine,0.00806431993323993
Homogeneity EVI,0.007818721968101393
Aspect Cosine,0.006201776251887028
Correlation EVI,0.005428929049503011
Population Density,0.004715352066278943
Burnt Areas Probability,0.003365299599856354
