Resolve_Biome,n,median,iqr,cutoff,n_dropped
1,718,21,27.0007503032684,156.003751516342,0
2,272,16.3304996490479,11.1337504386902,71.9992518424986,1
3,24,27.5479993820191,13.8437514305114,96.7667565345763,0
4,1027,24.9950008392334,15.1700000762939,100.845001220703,4
5,602,3,5,28,11
6,108,4,6.62150001525879,37.107500076294,2
7,138,13,21.2497501373291,119.248750686646,0
8,117,12.996000289917,28.2449989318848,154.220994949341,0
9,2,58.2485008239746,3.7485008239746,76.9910049438476,0
10,91,28,33.2890005111695,194.445002555847,0
11,19,5,8.4889998435974,47.444999217987,0
12,108,15.3400001525879,36.0417500138283,195.548750221729,0
13,22,7.99900007247925,21.5105001926422,115.55150103569,0
14,4,19.2384996414185,9.85749959945677,68.5259976387023,0
