Resolve_Biome,n,median,iqr,cutoff,n_dropped
Boreal Forests,1600,13.9660000801086,30.1550009250641,164.741004705429,39
Deserts,267,1,5,26,74
Flooded Grasslands,14,2,45.871000289917,231.355001449585,1
Mangroves,20,10.0885000228882,17.4710001945496,97.443500995636,0
Mediterranean Forests,601,20.9050006866455,62.9089965820313,335.449983596802,371
Montane Grasslands,339,19.8199996948242,46.246999502182,251.054997205734,4
Temperate Broadleaf Forests,8165,40.0849990844727,103.718998908997,558.679993629456,19
Temperate Conifer Forests,3863,102.436996459961,151.260494232178,858.73946762085,13
Temperate Grasslands,515,1,9.6894998550415,49.4474992752075,50
Tropical Coniferous Forests,86,101.928001403809,203.006752490997,1116.9617638588,0
Tropical Dry Forests,287,2,2,12,30
Tropical Grasslands,234,5,40.6542510986328,208.271255493164,12
Tropical Moist Forests,4227,74.9710006713867,104.397994995117,596.960975646973,29
Tundra,494,33.9444999694824,103.040750026703,549.148250102997,3
,64,36.0415000915527,29.3194999694824,182.638999938965,1
