Feature,Mean SHAP Value
Project Variables,0.28521824723772987
Aboveground Biomass,0.1440289719618969
Annual Mean Temperature,0.11319996706127028
SOC at 5cm,0.09960823228801412
Max Temperature of Warmest Month,0.09960598749640791
Potential Evapotranspiration,0.07415042245031282
Soil pH at 5cm,0.05376578063835162
Slope,0.05342526798292269
Elevation,0.05030515738209899
Annual Precipitation,0.04945530315869891
Human Development,0.046118581935148985
Population Density,0.03766046440418832
Precipitation Seasonality,0.03657311874431233
Sand Content at 5cm,0.03394372789311083
Net Primary Productivity,0.03148219524093834
Depth to Bedrock,0.024914261510309076
Topo. Position Index,0.02208040834759842
Coef. of Var. EVI,0.01668169666012449
Aspect Sine,0.014724467093606605
Aspect Cosine,0.014188142523734376
Homogeneity EVI,0.014068907930315911
Correlation EVI,0.013131667102329849
Burnt Areas Probability,0.0037330309035835357
