,Variable,Feature_Importance
1,CHELSA_BIO_Annual_Mean_Temperature,0.9994269549887165
0,CGIAR_PET,0.9533657115696264
3,CHELSA_BIO_Max_Temperature_of_Warmest_Month,0.8126431687449122
4,CHELSA_BIO_Precipitation_Seasonality,0.6544966888694448
19,SG_SOC_Content_005cm,0.639459285238531
20,SG_Sand_Content_005cm,0.6036308487614291
21,SG_Soil_pH_H2O_005cm,0.6035562698539386
11,EarthEnvTopoMed_Elevation,0.5623413719031976
2,CHELSA_BIO_Annual_Precipitation,0.526141246358638
17,MODIS_NPP,0.5248586896179986
5,ConsensusLandCover_Human_Development_Percentage,0.5102653344039515
12,EarthEnvTopoMed_Slope,0.4812481857885138
9,EarthEnvTopoMed_AspectCosine,0.41634534555558333
16,GlobBiomass_AboveGroundBiomass,0.4137786293658964
6,EarthEnvTexture_CoOfVar_EVI,0.36906264272645395
13,EarthEnvTopoMed_TopoPositionIndex,0.3662156500794109
10,EarthEnvTopoMed_AspectSine,0.3650129898300968
8,EarthEnvTexture_Homogeneity_EVI,0.36312219784173855
23,primersAML1_AML2_then_NS31_AM1,0.35850308139667775
7,EarthEnvTexture_Correlation_EVI,0.3360549562834196
15,GHS_Population_Density,0.3105337872926237
41,sequencing_platform454Roche,0.28197301665946006
18,SG_Depth_to_bedrock,0.2742611213953062
42,sequencing_platformIllumina,0.21909648916332064
37,primersWANDA_AML2,0.14896899053653506
14,EsaCci_BurntAreasProbability,0.14236372428489116
26,primersAMV4_5NF_AMDGR,0.12099893444378466
36,primersNS31_AML2,0.08976221999871685
38,sample_typerhizosphere_soil,0.07016088456802283
39,sample_typesoil,0.0552482913000392
33,primersNS1_NS4_then_AMV4_5NF_AMDGR,0.032639651526007854
22,primersAML1_AML2_then_AMV4_5NF_AMDGR,0.02489386165887713
30,primersGlomerWT0_Glomer1536_then_NS31_AM1A_and_GlomerWT0_Glomer1536_then_NS31_AM1B,0.017803270459425275
31,primersNS1_NS41_then_AML1_AML2,0.011833910800997742
35,primersNS31_AM1,0.009522107847335828
29,primersGlomerWT0_Glomer1536_then_NS31_AM1A__GlomerWT0_Glomer1536_then_NS31_AM1B,0.007435793059095412
34,primersNS1_NS4_then_NS31_AM1,0.003225170050017626
32,primersNS1_NS4_then_AML1_AML2,0.0014146596340101699
27,primersGeoA2_AML2_then_NS31_AMDGR,0.001219153801786519
24,primersAML1_AML2_then_nu_SSU_0595_5__nu_SSU_0948_3_,0.000264993692553113
40,sample_typetopsoil,0.00026422565300333276
28,primersGeoA2_NS4_then_NS31_AML2,0.0002304128280505394
25,primersAMV4_5F_AMDGR,0.0
