,Variable,Feature_Importance
1,CHELSA_BIO_Annual_Mean_Temperature,1.0
2,CHELSA_BIO_Annual_Precipitation,0.8954636503081923
0,CGIAR_PET,0.8801504744534719
20,SG_Sand_Content_005cm,0.86413430639132
17,MODIS_NPP,0.8171345178097214
21,SG_Soil_pH_H2O_005cm,0.7600452599772893
4,CHELSA_BIO_Precipitation_Seasonality,0.6622287892282853
19,SG_SOC_Content_005cm,0.6584934692029596
5,ConsensusLandCover_Human_Development_Percentage,0.6205909054074851
3,CHELSA_BIO_Max_Temperature_of_Warmest_Month,0.6193691715537092
16,GlobBiomass_AboveGroundBiomass,0.6088484746781303
23,primersAML1_AML2_then_NS31_AM1,0.6056776594034483
12,EarthEnvTopoMed_Slope,0.6029676058901956
11,EarthEnvTopoMed_Elevation,0.5891277360004301
6,EarthEnvTexture_CoOfVar_EVI,0.5836810440611802
10,EarthEnvTopoMed_AspectSine,0.5308353799818804
8,EarthEnvTexture_Homogeneity_EVI,0.5185566984696854
13,EarthEnvTopoMed_TopoPositionIndex,0.4870767561706719
7,EarthEnvTexture_Correlation_EVI,0.43357383808546046
9,EarthEnvTopoMed_AspectCosine,0.42554455462975715
18,SG_Depth_to_bedrock,0.3562130748843891
15,GHS_Population_Density,0.21491634452577513
14,EsaCci_BurntAreasProbability,0.14639373723535395
42,sequencing_platformIllumina,0.13987347262622116
37,primersWANDA_AML2,0.1326402462133655
41,sequencing_platform454Roche,0.08962231318692185
36,primersNS31_AML2,0.08954220985663214
26,primersAMV4_5NF_AMDGR,0.07618994464450084
38,sample_typerhizosphere_soil,0.055970363660179635
39,sample_typesoil,0.05563274814900978
33,primersNS1_NS4_then_AMV4_5NF_AMDGR,0.046476580055000126
35,primersNS31_AM1,0.04370541763617358
22,primersAML1_AML2_then_AMV4_5NF_AMDGR,0.02008663741398245
29,primersGlomerWT0_Glomer1536_then_NS31_AM1A__GlomerWT0_Glomer1536_then_NS31_AM1B,0.010151044529694208
30,primersGlomerWT0_Glomer1536_then_NS31_AM1A_and_GlomerWT0_Glomer1536_then_NS31_AM1B,0.005577107255944327
31,primersNS1_NS41_then_AML1_AML2,0.004969730714254334
34,primersNS1_NS4_then_NS31_AM1,0.0013682797023015975
32,primersNS1_NS4_then_AML1_AML2,0.000917895469172316
28,primersGeoA2_NS4_then_NS31_AML2,0.00046715597000551495
27,primersGeoA2_AML2_then_NS31_AMDGR,0.00024354429008111963
24,primersAML1_AML2_then_nu_SSU_0595_5__nu_SSU_0948_3_,0.00015539083617399903
40,sample_typetopsoil,8.843906708204434e-05
25,primersAMV4_5F_AMDGR,0.0
