Mean_R2_Random,Mean_R2_Spatial,Mean_MAE_Random,StDev_R2_Spatial,Mean_MAE_Spatial,Mean_RMSE_Spatial,StDev_MAE_Spatial,StDev_RMSE_Random,Mean_RMSE_Random,cName,StDev_R2_Random,StDev_MAE_Random,StDev_RMSE_Spatial
0.3455627612806649,0.0800590637239548,2.892576436515732e-08,0.12101345428501845,4.6611471218508184e-08,1.0555034270463353e-07,1.2356167036878706e-08,1.4520540160148371e-08,8.938072802273994e-08,we_rf_VPS10_LP12_REGRESSION,0.04242794410295654,1.652321886119531e-09,3.583059055289419e-08
0.34239997798358446,0.07784142450425664,2.899388844048342e-08,0.12411055361583988,4.7230357844833856e-08,1.0570720826741924e-07,1.2449457996179425e-08,1.4769380548751169e-08,8.966608641934433e-08,we_rf_VPS8_LP10_REGRESSION,0.04162493126477772,1.70686650772756e-09,3.592440531709146e-08
0.3327935251782878,0.07715751053308353,2.9418319108572787e-08,0.11886976652524121,4.7329648969937264e-08,1.0583403659762381e-07,1.2662322698949181e-08,1.494950086668736e-08,9.034714020070124e-08,we_rf_VPS6_LP10_REGRESSION,0.04086215685706968,1.7326377973498765e-09,3.604692075232666e-08
0.33754632234939663,0.07699190449494789,2.9221685465389336e-08,0.11603711619414366,4.7056291973530884e-08,1.0583998099910943e-07,1.2810717780633453e-08,1.4832242704372534e-08,9.000137292010805e-08,we_rf_VPS8_LP12_REGRESSION,0.04132189108890078,1.718489438676892e-09,3.597697128665708e-08
0.34972036075948265,0.07519144017204578,2.8773611690615425e-08,0.1235043078588655,4.6599588411432326e-08,1.057911749020138e-07,1.2500444140409811e-08,1.432831713720621e-08,8.90497650760359e-08,we_rf_VPS12_LP12_REGRESSION,0.04248123206672398,1.642993788122674e-09,3.5854340725127734e-08
0.3608514962307354,0.07398044951110654,2.8300672750232915e-08,0.12764633237991244,4.703708042135982e-08,1.0582563432880966e-07,1.3101704167959575e-08,1.4768041425651357e-08,8.844353990196075e-08,we_rf_VPS10_LP8_REGRESSION,0.04553946880119064,1.6669099874137263e-09,3.5814484630329535e-08
0.352138757775424,0.07298812302555424,2.8620813530780483e-08,0.1273743111806204,4.725998416285521e-08,1.0580632824398488e-07,1.2750465674327228e-08,1.4675284646490166e-08,8.899397605593152e-08,we_rf_VPS10_LP10_REGRESSION,0.04310421666579115,1.6618742185208997e-09,3.570508812692325e-08
0.3029713867521286,0.0729783187992413,3.068402030969463e-08,0.1121770503665296,4.746063422763864e-08,1.0614432757492468e-07,1.1028728091464216e-08,1.543233877328226e-08,9.240660369327485e-08,we_rf_VPS4_LP10_REGRESSION,0.03852076782076295,1.8852488155250464e-09,3.6274601174111944e-08
0.36016618660865485,0.07272474929730685,2.8208373268348796e-08,0.12308746925324154,4.7457354078701537e-08,1.0580486414337423e-07,1.2838376502650389e-08,1.4861764969441896e-08,8.850655613997891e-08,we_rf_VPS8_LP6_REGRESSION,0.048585442744936834,1.6642416587042145e-09,3.5634709846151104e-08
0.3258595286125637,0.07226594945732484,2.972342874660879e-08,0.12147278592908467,4.732461218270802e-08,1.0600797757237926e-07,1.2129947615793187e-08,1.5036077676312002e-08,9.082269571150405e-08,we_rf_VPS6_LP12_REGRESSION,0.04014767273492588,1.747587592618907e-09,3.601814009528338e-08
0.310690500732085,0.07185701886032374,3.037473416307924e-08,0.11743160966735659,4.7911468433167714e-08,1.0614717397706157e-07,1.1219986456247527e-08,1.5400378252246038e-08,9.190526975054943e-08,we_rf_VPS4_LP8_REGRESSION,0.04013805119626211,1.8638010897482796e-09,3.6200767096735004e-08
0.35618044887082634,0.0710991003040404,2.8490483663594887e-08,0.1241367830139645,4.662435592736837e-08,1.060199624981104e-07,1.3238359297084949e-08,1.443711623403599e-08,8.864575213286277e-08,we_rf_VPS12_LP10_REGRESSION,0.046063524160927585,1.633980481196731e-09,3.5858128997640326e-08
0.3626612388313618,0.07108661766634763,2.8198725570797803e-08,0.1252500931780317,4.699735787903645e-08,1.0588142587675516e-07,1.2922575148728091e-08,1.4514594996019673e-08,8.823788652229443e-08,we_rf_VPS12_LP8_REGRESSION,0.04700039658195914,1.6744116807583936e-09,3.567005414953127e-08
0.3209133772344642,0.07096684699078311,2.993355934447526e-08,0.1146381157062929,4.793711255133587e-08,1.0614767476537512e-07,1.0888178457706158e-08,1.540383186157952e-08,9.125400854979972e-08,we_rf_VPS4_LP6_REGRESSION,0.04112484030077989,1.856675546801367e-09,3.612905611222645e-08
