Resolve_Biome,n,median,iqr,cutoff,n_dropped
Boreal Forests,1603,17.9699993133545,33.9695000648499,187.817499637604,39
Deserts,274,4,14.3197500705719,75.5987503528595,59
Flooded Grasslands,16,3,39.9992504119873,202.996252059937,1
Mangroves,20,10.0885000228882,21.9620008468628,119.898504257202,0
Mediterranean Forests,635,30.9179992675781,67.7824974060059,369.830486297607,389
Montane Grasslands,345,20.3309993743897,48.5479981899262,263.07099032402,4
Temperate Broadleaf Forests,8298,42.2600002288818,109.410250663757,589.311253547668,17
Temperate Conifer Forests,3925,110.148002624512,169.333992004395,956.817962646484,10
Temperate Grasslands,528,1,12.990749835968,65.9537491798401,37
Tropical Coniferous Forests,89,108.966003417969,213.91300201416,1178.53101348877,0
Tropical Dry Forests,297,2,2.48799991607666,14.4399995803833,28
Tropical Grasslands,239,5,39.2010002136231,201.005001068115,12
Tropical Moist Forests,4244,83.0460014343262,116.481505393982,665.453528404236,28
Tundra,495,40.056999206543,111.804000854492,599.077003479004,2
,64,39.4925003051758,32.0827503204346,199.906251907349,0
