,Variable,Feature_Importance
1,CHELSA_BIO_Annual_Mean_Temperature,0.9836604005955563
0,CGIAR_PET,0.977652775675014
22,amf_sampling_density,0.8844725504009301
3,CHELSA_BIO_Max_Temperature_of_Warmest_Month,0.7765480915537182
19,SG_SOC_Content_005cm,0.669542682159162
4,CHELSA_BIO_Precipitation_Seasonality,0.6672429341811482
2,CHELSA_BIO_Annual_Precipitation,0.6051078598199753
21,SG_Soil_pH_H2O_005cm,0.5742343939108118
11,EarthEnvTopoMed_Elevation,0.5706720227895988
20,SG_Sand_Content_005cm,0.5546259897750101
12,EarthEnvTopoMed_Slope,0.516729483314354
17,MODIS_NPP,0.504851879847845
5,ConsensusLandCover_Human_Development_Percentage,0.49322999824048824
24,primersAML1_AML2_then_NS31_AM1,0.45345049564199486
16,GlobBiomass_AboveGroundBiomass,0.43354346629510354
9,EarthEnvTopoMed_AspectCosine,0.3874965003083844
8,EarthEnvTexture_Homogeneity_EVI,0.374447234709141
10,EarthEnvTopoMed_AspectSine,0.35115594176866816
13,EarthEnvTopoMed_TopoPositionIndex,0.34713917155126167
6,EarthEnvTexture_CoOfVar_EVI,0.3442632912109839
7,EarthEnvTexture_Correlation_EVI,0.30865904293072643
15,GHS_Population_Density,0.3018134718375403
18,SG_Depth_to_bedrock,0.26905536630410465
43,sequencing_platformIllumina,0.26039671948954574
42,sequencing_platform454Roche,0.24465823515693802
38,primersWANDA_AML2,0.13158023057387647
14,EsaCci_BurntAreasProbability,0.11695296908343684
27,primersAMV4_5NF_AMDGR,0.10497956859668105
37,primersNS31_AML2,0.07984998722607381
39,sample_typerhizosphere_soil,0.0771825440763753
40,sample_typesoil,0.05827547588840655
34,primersNS1_NS4_then_AMV4_5NF_AMDGR,0.02802591717584449
23,primersAML1_AML2_then_AMV4_5NF_AMDGR,0.02218059909011402
31,primersGlomerWT0_Glomer1536_then_NS31_AM1A_and_GlomerWT0_Glomer1536_then_NS31_AM1B,0.011577907683677786
36,primersNS31_AM1,0.009897108282926937
30,primersGlomerWT0_Glomer1536_then_NS31_AM1A__GlomerWT0_Glomer1536_then_NS31_AM1B,0.006777947391287245
32,primersNS1_NS41_then_AML1_AML2,0.005306307115455253
35,primersNS1_NS4_then_NS31_AM1,0.0010037397294622014
33,primersNS1_NS4_then_AML1_AML2,0.0003864381109826665
25,primersAML1_AML2_then_nu_SSU_0595_5__nu_SSU_0948_3_,0.0002644286459276386
41,sample_typetopsoil,0.00018723005646170536
28,primersGeoA2_AML2_then_NS31_AMDGR,8.210834657767564e-05
29,primersGeoA2_NS4_then_NS31_AML2,7.67635612570129e-05
26,primersAMV4_5F_AMDGR,0.0
