Feature,Mean SHAP Value
Project Variables,0.014918663023147762
Annual Mean Temperature,0.013454007783854327
Potential Evapotranspiration,0.012090910580503844
SOC at 5cm,0.007065632696292834
Human Development,0.005886506028038623
Precipitation Seasonality,0.005588259441919923
Max Temperature of Warmest Month,0.00457559789152527
Elevation,0.004417704255723655
amf_sampling_density,0.0033511440804166394
Sand Content at 5cm,0.0027308364305992476
Annual Precipitation,0.002548976228761594
Net Primary Productivity,0.0022170466825118616
Soil pH at 5cm,0.0020821781545797553
Slope,0.0020109496388895057
Aspect Cosine,0.001979339134027614
Aspect Sine,0.0019102695399254575
Depth to Bedrock,0.0018315727282282141
Topo. Position Index,0.0012069020719664568
Population Density,0.00120129959564329
Aboveground Biomass,0.0011497440303157127
Homogeneity EVI,0.0010267138041023876
Correlation EVI,0.0009977880278102436
Coef. of Var. EVI,0.0009369197137697986
Burnt Areas Probability,0.0007425545395435559
