,Mean_R2_Random,Mean_R2_Spatial,Mean_MAE_Random,StDev_R2_Spatial,Mean_MAE_Spatial,Mean_RMSE_Spatial,StDev_MAE_Spatial,StDev_RMSE_Random,Mean_RMSE_Random,cName,StDev_R2_Random,StDev_MAE_Random,StDev_RMSE_Spatial
18,0.604469938242926,0.22201010027148288,0.6470250241010896,0.10058081840867153,0.9357593508943731,1.1993581636753214,0.10228578873144764,0.022449184618939858,0.892796679528354,ectomycorrhizal_richness_rf_VPS10_LP2_REGRESSION,0.020992409214390835,0.012385958372523865,0.09727536736762808
12,0.6042108106313919,0.2194836300935013,0.647195486405132,0.09936953767344785,0.9377387349483562,1.2017257380234765,0.10092656487322524,0.022862189527690743,0.8930880763090848,ectomycorrhizal_richness_rf_VPS8_LP2_REGRESSION,0.02137965923834576,0.012144875552899793,0.09905545638865525
6,0.6030279634834315,0.21914052674275472,0.6498345511483296,0.10205599886222212,0.939511834554622,1.2028206368581118,0.10425412350336936,0.022256474621061947,0.8944468667553186,ectomycorrhizal_richness_rf_VPS6_LP2_REGRESSION,0.020408672148076422,0.012074150394358541,0.10601879020001537
7,0.5961846733410916,0.2186870546188579,0.6597721299963407,0.09793162056362546,0.941970501972335,1.2027534323496836,0.10141441514462683,0.02008077076065167,0.9021252715597636,ectomycorrhizal_richness_rf_VPS6_LP4_REGRESSION,0.018672804520809643,0.011059649363249926,0.10120298791102637
20,0.5964933890143626,0.21632086976327156,0.6591027704980271,0.09955617599946459,0.9425269612811065,1.2046070875043353,0.10463837484041776,0.020270021576357263,0.9017698711668518,ectomycorrhizal_richness_rf_VPS10_LP6_REGRESSION,0.019037652839092336,0.011532198045070625,0.10227961606224133
0,0.5905883649994267,0.2156304260140418,0.6654397062252654,0.09760677105692947,0.9465344267231643,1.2053798157922708,0.10002437846757772,0.020216909030518853,0.9083470633554498,ectomycorrhizal_richness_rf_VPS4_LP2_REGRESSION,0.01908060349306964,0.011398265230612267,0.10274379281878925
13,0.6006129222173688,0.21414804261887982,0.6539899579796551,0.09542026903058774,0.9426164381816658,1.2060767460769033,0.10041251746811103,0.020860894382211385,0.8971587602044618,ectomycorrhizal_richness_rf_VPS8_LP4_REGRESSION,0.01935625109325348,0.011874861991056357,0.09861450315757035
8,0.5856364110932085,0.21350703020964917,0.6706026813886006,0.09473441431667864,0.9472936239357557,1.2070547611780773,0.10124570893762544,0.017674124886155045,0.91385999910291,ectomycorrhizal_richness_rf_VPS6_LP6_REGRESSION,0.01615249580272442,0.010289020343002102,0.10112655633507757
14,0.5935268132999214,0.21332096230032063,0.662698361004624,0.09321737664366153,0.9460970134904049,1.2066339699634008,0.09932610488879531,0.019378436308151996,0.9050880597514237,ectomycorrhizal_richness_rf_VPS8_LP6_REGRESSION,0.018133857083362005,0.011033821825898706,0.09662046481020568
23,0.5745171653104698,0.2129725775064432,0.6810070522789679,0.09810872560079029,0.9446032541556917,1.2069326568263716,0.10253538478792883,0.01707198490198259,0.926033659064004,ectomycorrhizal_richness_rf_VPS10_LP12_REGRESSION,0.01598959773670468,0.01034407473604083,0.10008498034937079
19,0.6036281765105899,0.21214483475265125,0.6510558249689113,0.10142971564785604,0.9434311372094643,1.207541231367128,0.10388431826725736,0.021916952535770712,0.8937563132696589,ectomycorrhizal_richness_rf_VPS10_LP4_REGRESSION,0.020368773868951626,0.012429403638857662,0.10156697539425562
22,0.5810448747547947,0.21112760735794675,0.6745811297506196,0.09338539946592633,0.9458341824424416,1.2085576466764716,0.10040660411710554,0.017703323861640575,0.918905679687147,ectomycorrhizal_richness_rf_VPS10_LP10_REGRESSION,0.016347574891988285,0.010516408201118349,0.09818145685255802
21,0.589328840512338,0.21106623346872047,0.6668834877300023,0.09408206016504612,0.9455307969069977,1.2083397945988894,0.09924269258661875,0.01874085733243266,0.9097659706794081,ectomycorrhizal_richness_rf_VPS10_LP8_REGRESSION,0.017341860128196537,0.010947728403191324,0.09694644017532243
24,0.6048669037171489,0.21089025575065384,0.6465252374571976,0.09729404650791751,0.9459544904772175,1.2080439200537547,0.10316045743503881,0.0231475348189186,0.892339629039445,ectomycorrhizal_richness_rf_VPS12_LP2_REGRESSION,0.02173561759065736,0.01189710377420218,0.09578388848929655
15,0.5835665966151606,0.21077913681589608,0.6723888070746417,0.09508286614668193,0.9470438983074372,1.208870822116811,0.10016008174287329,0.018480779710875347,0.916124941181231,ectomycorrhizal_richness_rf_VPS8_LP8_REGRESSION,0.01727079567450107,0.010439150970168927,0.09971953235211752
2,0.5620490380940163,0.20976316322339555,0.6942905759159517,0.09269663539257632,0.9548627351154447,1.2094293711034716,0.09397811756872575,0.015634287299269262,0.9395001877127125,ectomycorrhizal_richness_rf_VPS4_LP6_REGRESSION,0.015018293216947273,0.008979185447729706,0.09666229026107062
26,0.5996924710912266,0.20961622410300434,0.6559922050739099,0.09914283711977137,0.945555653071969,1.2100342986111616,0.10782015709924718,0.01942566246962547,0.898201474181449,ectomycorrhizal_richness_rf_VPS12_LP6_REGRESSION,0.0179523230147471,0.011105161880868745,0.10353523951973573
9,0.57523406926134,0.2095895893244933,0.6808149870347657,0.09499862788999562,0.9509948976176339,1.2102701788437342,0.10102634807401886,0.017591432046659448,0.9252545540459064,ectomycorrhizal_richness_rf_VPS6_LP8_REGRESSION,0.016418631291433214,0.010012777784034092,0.10263582554730519
10,0.5654596217840455,0.20917648916831633,0.6899991305895807,0.09352755030061294,0.9514054564100933,1.2103846068021815,0.09758329454787236,0.01654199451030115,0.9358518877205222,ectomycorrhizal_richness_rf_VPS6_LP10_REGRESSION,0.015331263609990046,0.009626892239590684,0.10041846175964583
11,0.556303267564356,0.2090468991741307,0.6979094757754095,0.09666664740791153,0.9512277932873217,1.2106474053915186,0.10107707673064546,0.015416918799122282,0.9456691364024086,ectomycorrhizal_richness_rf_VPS6_LP12_REGRESSION,0.014159994549653051,0.009158923625555706,0.10352660030355028
25,0.6053334151906609,0.208850811856557,0.6491244315233974,0.09518375674119635,0.9444321930533185,1.2107140328055221,0.10465192916246566,0.021197540092171317,0.8918431363790111,ectomycorrhizal_richness_rf_VPS12_LP4_REGRESSION,0.019485158235328877,0.01187153332479164,0.1013831376857902
1,0.5766110065672307,0.20830136893592396,0.6807303562698376,0.09391375722379547,0.9551190089728246,1.2105345984820584,0.09537950639938013,0.017675057964853465,0.9237444311244541,ectomycorrhizal_richness_rf_VPS4_LP4_REGRESSION,0.01668743020331048,0.00998057785690519,0.09749435045178755
16,0.5753515201953145,0.20787083886893026,0.6800700947426435,0.09471157035681724,0.9481572371694126,1.2112177196566283,0.10016668633142792,0.017413069299995705,0.9251407372784859,ectomycorrhizal_richness_rf_VPS8_LP10_REGRESSION,0.01589254652302011,0.00980128631891542,0.10017930407412864
27,0.5925110566938767,0.20657718755003693,0.6635342520479578,0.09293565008277802,0.948740531597366,1.2120692554689745,0.10232742406464887,0.01861122682052535,0.9062396258195433,ectomycorrhizal_richness_rf_VPS12_LP8_REGRESSION,0.01702446439682418,0.01076245723769851,0.09805066679061043
17,0.5672318592613025,0.20638583407505026,0.6875762086108701,0.09529009734175443,0.950234639088974,1.211861001074143,0.09928517327779841,0.016461101879009888,0.9339428222803333,ectomycorrhizal_richness_rf_VPS8_LP12_REGRESSION,0.015179269314186807,0.009507578772638489,0.09761234057209349
29,0.5773250170100599,0.20427047730811757,0.6775817848304034,0.0935622931856204,0.9504216639101623,1.214101028569131,0.10527663620162182,0.01708474098394151,0.9229774275090449,ectomycorrhizal_richness_rf_VPS12_LP12_REGRESSION,0.015846696389533427,0.009640862466100361,0.10012231105983266
28,0.5852828809126611,0.20360431327141812,0.6705596033842545,0.09276567313368454,0.9482810050706132,1.2143707537121837,0.10178018234233194,0.017113383327521298,0.914250446372691,ectomycorrhizal_richness_rf_VPS12_LP10_REGRESSION,0.015638678763520684,0.009922794572316177,0.0982712944411485
3,0.5502226061914767,0.20354539170503613,0.7054653183124181,0.0955175815935937,0.9601034570746367,1.2142940276744414,0.09598025166991075,0.01514193763127701,0.9521114733343499,ectomycorrhizal_richness_rf_VPS4_LP8_REGRESSION,0.014467431514257379,0.009052859201035827,0.09871453938063367
4,0.538709181799541,0.1981696030682158,0.7158681323388547,0.09291974342109428,0.9631736602420151,1.2187442498865535,0.09662341436104926,0.014440257410804517,0.9642332773523736,ectomycorrhizal_richness_rf_VPS4_LP10_REGRESSION,0.013567763596518592,0.00901816906782413,0.09999036284134377
5,0.5304662468974667,0.1950336617710881,0.723519344351841,0.09918528879329239,0.9675013175035294,1.2203131937568883,0.09288468555510845,0.013594892217690105,0.9728032982302243,ectomycorrhizal_richness_rf_VPS4_LP12_REGRESSION,0.013095836865434836,0.009017507938028739,0.09823913449400383
