Resolve_Biome,n,median,iqr,cutoff,n_dropped
Boreal Forests,108,4,6.62150001525879,37.107500076294,2
Deserts,22,7.99900007247925,21.5105001926422,115.55150103569,0
Flooded Grasslands,2,58.2485008239746,3.74850082397461,76.9910049438477,0
Mangroves,4,19.2384996414185,9.85749959945678,68.5259976387024,0
Mediterranean Forests,108,15.3400001525879,36.0417500138283,195.548750221729,0
Montane Grasslands,91,28,33.2890005111694,194.445002555847,0
Temperate Broadleaf Forests,1027,24.9950008392334,15.1700000762939,100.845001220703,4
Temperate Conifer Forests,602,3,5,28,11
Temperate Grasslands,117,12.996000289917,28.2449989318848,154.220994949341,0
Tropical Coniferous Forests,24,27.547999382019,13.8437514305115,96.7667565345764,0
Tropical Dry Forests,272,16.3304996490479,11.1337504386902,71.9992518424988,1
Tropical Grasslands,138,13,21.2497501373291,119.248750686646,0
Tropical Moist Forests,718,21,27.0007503032684,156.003751516342,0
Tundra,19,5,8.48899984359741,47.4449992179871,0
