,Variable,Feature_Importance
1,CHELSA_BIO_Annual_Mean_Temperature,0.9973238852363087
19,SG_SOC_Content_005cm,0.970097538091216
0,CGIAR_PET,0.9273315392899713
5,ConsensusLandCover_Human_Development_Percentage,0.8686707302882384
3,CHELSA_BIO_Max_Temperature_of_Warmest_Month,0.8434874296437419
25,plant_diversity,0.8318512618467464
4,CHELSA_BIO_Precipitation_Seasonality,0.8273117883540021
2,CHELSA_BIO_Annual_Precipitation,0.7675609336477726
23,climate_stability_index,0.7355959930084666
11,EarthEnvTopoMed_Elevation,0.7118243944944009
20,SG_Sand_Content_005cm,0.6948313526111096
17,MODIS_NPP,0.6886902403795605
16,GlobBiomass_AboveGroundBiomass,0.623924862914678
22,area_sampled,0.5950157103998728
8,EarthEnvTexture_Homogeneity_EVI,0.5824350436821935
12,EarthEnvTopoMed_Slope,0.5670101729030754
21,SG_Soil_pH_H2O_005cm,0.5612767150614892
9,EarthEnvTopoMed_AspectCosine,0.5407840326277753
24,extraction_dna_mass,0.47709935590330677
7,EarthEnvTexture_Correlation_EVI,0.4690251017095347
10,EarthEnvTopoMed_AspectSine,0.45130912301966397
13,EarthEnvTopoMed_TopoPositionIndex,0.43115905164474927
6,EarthEnvTexture_CoOfVar_EVI,0.42201625972807866
15,GHS_Population_Density,0.3955319741324171
30,primersAMV4_5NF_AMDGR,0.3666628751220192
41,primersWANDA_AML2,0.3253116583099668
18,SG_Depth_to_bedrock,0.3010267607734892
46,sequencing_platformIllumina,0.2857262024324608
45,sequencing_platform454Roche,0.2740953588021534
43,sample_typesoil,0.19190982866337672
42,sample_typerhizosphere_soil,0.19090974537501976
14,EsaCci_BurntAreasProbability,0.16407654403531496
27,primersAML1_AML2_then_NS31_AM1,0.14920255136411248
40,primersNS31_AML2,0.14213656428677485
33,primersGlomerWT0_Glomer1536_then_NS31_AM1A__GlomerWT0_Glomer1536_then_NS31_AM1B,0.08603318907451354
37,primersNS1_NS4_then_AMV4_5NF_AMDGR,0.06856313366818698
39,primersNS31_AM1,0.04404099667100296
26,primersAML1_AML2_then_AMV4_5NF_AMDGR,0.03881253158971494
34,primersGlomerWT0_Glomer1536_then_NS31_AM1A_and_GlomerWT0_Glomer1536_then_NS31_AM1B,0.033697154445683254
38,primersNS1_NS4_then_NS31_AM1,0.02501936280086032
36,primersNS1_NS4_then_AML1_AML2,0.021647920606579298
35,primersNS1_NS41_then_AML1_AML2,0.02045598495422908
44,sample_typetopsoil,0.0009425660878787871
31,primersGeoA2_AML2_then_NS31_AMDGR,0.0006482732194355095
32,primersGeoA2_NS4_then_NS31_AML2,0.00012076664946858849
28,primersAML1_AML2_then_nu_SSU_0595_5__nu_SSU_0948_3_,5.4136243222049256e-05
29,primersAMV4_5F_AMDGR,0.0
