,Variable,Feature_Importance
1,CHELSA_BIO_Annual_Mean_Temperature,1.0
19,SG_SOC_Content_005cm,0.8858614474439064
0,CGIAR_PET,0.8214239404825469
23,climate_stability_index,0.7728466248869374
3,CHELSA_BIO_Max_Temperature_of_Warmest_Month,0.7692844236319032
25,plant_diversity,0.7581079382035802
11,EarthEnvTopoMed_Elevation,0.7504318837415349
5,ConsensusLandCover_Human_Development_Percentage,0.7480484199637873
4,CHELSA_BIO_Precipitation_Seasonality,0.7093499656153907
2,CHELSA_BIO_Annual_Precipitation,0.6513760700290143
20,SG_Sand_Content_005cm,0.6282089812024327
22,area_sampled,0.577624995681894
17,MODIS_NPP,0.5560207727557105
16,GlobBiomass_AboveGroundBiomass,0.529093394217738
8,EarthEnvTexture_Homogeneity_EVI,0.5235817192118148
12,EarthEnvTopoMed_Slope,0.5094590686976513
21,SG_Soil_pH_H2O_005cm,0.5037136019058082
9,EarthEnvTopoMed_AspectCosine,0.49188442336695265
6,EarthEnvTexture_CoOfVar_EVI,0.4497510446354439
24,extraction_dna_mass,0.40963024469515447
13,EarthEnvTopoMed_TopoPositionIndex,0.3935490820630034
7,EarthEnvTexture_Correlation_EVI,0.37049567357179203
10,EarthEnvTopoMed_AspectSine,0.36191590812845575
15,GHS_Population_Density,0.3439744713070366
30,primersAMV4_5NF_AMDGR,0.30309633707726247
41,primersWANDA_AML2,0.2730426978994747
45,sequencing_platform454Roche,0.25548389063898985
18,SG_Depth_to_bedrock,0.24885174623701115
46,sequencing_platformIllumina,0.23190977369244847
42,sample_typerhizosphere_soil,0.17917555191493764
43,sample_typesoil,0.16934066122839764
27,primersAML1_AML2_then_NS31_AM1,0.15614470395449914
14,EsaCci_BurntAreasProbability,0.138846100461788
40,primersNS31_AML2,0.1054981116881815
33,primersGlomerWT0_Glomer1536_then_NS31_AM1A__GlomerWT0_Glomer1536_then_NS31_AM1B,0.08231163084700052
37,primersNS1_NS4_then_AMV4_5NF_AMDGR,0.06365659868480285
39,primersNS31_AM1,0.06295643171537725
34,primersGlomerWT0_Glomer1536_then_NS31_AM1A_and_GlomerWT0_Glomer1536_then_NS31_AM1B,0.03616796424139053
26,primersAML1_AML2_then_AMV4_5NF_AMDGR,0.03459409735650145
35,primersNS1_NS41_then_AML1_AML2,0.015999851644290984
36,primersNS1_NS4_then_AML1_AML2,0.012852534089023145
38,primersNS1_NS4_then_NS31_AM1,0.011000283360756825
44,sample_typetopsoil,0.0014496928414426623
31,primersGeoA2_AML2_then_NS31_AMDGR,0.00047053414929761685
32,primersGeoA2_NS4_then_NS31_AML2,0.00021504329477820802
28,primersAML1_AML2_then_nu_SSU_0595_5__nu_SSU_0948_3_,9.075422006838663e-05
29,primersAMV4_5F_AMDGR,0.0
