Resolve_Biome,n,median,iqr,cutoff,n_dropped,lower,upper
Boreal Forests,1611,17.8139991760254,33.8139996528626,186.883997440338,39,-151.255999088287,186.883997440338
Deserts,274,4,14.3197500705719,75.5987503528595,59,-67.5987503528595,75.5987503528595
Flooded Grasslands,16,3,39.9992504119873,202.996252059937,1,-196.996252059937,202.996252059937
Mangroves,20,10.0885000228882,21.9620008468628,119.898504257202,0,-99.7215042114258,119.898504257202
Mediterranean Forests,633,30.8479995727539,66.9469985961914,365.582992553711,389,-303.886993408203,365.582992553711
Montane Grasslands,345,20.3309993743897,48.5479981899262,263.07099032402,4,-222.408991575241,263.07099032402
Temperate Broadleaf Forests,8301,42.2840003967285,109.491997718811,589.743988990784,17,-505.175988197327,589.743988990784
Temperate Conifer Forests,3917,110.997001647949,169.440002441406,958.19701385498,10,-736.203010559082,958.19701385498
Temperate Grasslands,528,1,12.990749835968,65.9537491798401,37,-63.9537491798401,65.9537491798401
Tropical Coniferous Forests,86,107.511001586914,227.738502025604,1246.20351171494,0,-1031.18150854111,1246.20351171494
Tropical Dry Forests,297,2,2.48799991607666,14.4399995803833,28,-10.4399995803833,14.4399995803833
Tropical Grasslands,239,5,39.2010002136231,201.005001068115,12,-191.005001068115,201.005001068115
Tropical Moist Forests,4244,83.0460014343262,116.481505393982,665.453528404236,28,-499.361525535584,665.453528404236
Tundra,497,40.4469985961914,112.938996315002,605.141980171204,2,-524.247982978821,605.141980171204
,64,39.4925003051758,32.0827503204346,199.906251907349,0,-120.921251296997,199.906251907349
