,Variable,Feature_Importance
1,CHELSA_BIO_Annual_Mean_Temperature,0.988350770169383
19,SG_SOC_Content_005cm,0.9584356245469113
0,CGIAR_PET,0.8418928650870823
3,CHELSA_BIO_Max_Temperature_of_Warmest_Month,0.8163249604598389
5,ConsensusLandCover_Human_Development_Percentage,0.7926549065213048
24,climate_stability_index,0.7668603073662323
26,plant_diversity,0.7568990854978077
11,EarthEnvTopoMed_Elevation,0.7079311571332514
4,CHELSA_BIO_Precipitation_Seasonality,0.6981314507264509
22,amf_sampling_density,0.6856953418671922
2,CHELSA_BIO_Annual_Precipitation,0.6146679403211397
17,MODIS_NPP,0.5984896011826992
20,SG_Sand_Content_005cm,0.5952372094164275
23,area_sampled,0.5662094987556457
16,GlobBiomass_AboveGroundBiomass,0.5237928686250762
21,SG_Soil_pH_H2O_005cm,0.5146058453821578
8,EarthEnvTexture_Homogeneity_EVI,0.49019593410158324
12,EarthEnvTopoMed_Slope,0.4729268991177361
9,EarthEnvTopoMed_AspectCosine,0.46176799874373275
25,extraction_dna_mass,0.4498713666090361
13,EarthEnvTopoMed_TopoPositionIndex,0.39819619637409864
6,EarthEnvTexture_CoOfVar_EVI,0.38339560084448865
10,EarthEnvTopoMed_AspectSine,0.3639825348275532
7,EarthEnvTexture_Correlation_EVI,0.35533607269889866
15,GHS_Population_Density,0.3144357472224031
46,sequencing_platform454Roche,0.28062386128260497
31,primersAMV4_5NF_AMDGR,0.26642357729460225
47,sequencing_platformIllumina,0.25665967029802
18,SG_Depth_to_bedrock,0.2469143526353535
42,primersWANDA_AML2,0.24653452899228964
44,sample_typesoil,0.19120667642372652
28,primersAML1_AML2_then_NS31_AM1,0.15849793779963883
43,sample_typerhizosphere_soil,0.14222881230018092
14,EsaCci_BurntAreasProbability,0.1379328556454055
41,primersNS31_AML2,0.11690665971170436
38,primersNS1_NS4_then_AMV4_5NF_AMDGR,0.08185557446266216
34,primersGlomerWT0_Glomer1536_then_NS31_AM1A__GlomerWT0_Glomer1536_then_NS31_AM1B,0.05938954502814324
40,primersNS31_AM1,0.034847110079445756
35,primersGlomerWT0_Glomer1536_then_NS31_AM1A_and_GlomerWT0_Glomer1536_then_NS31_AM1B,0.03247252216604305
27,primersAML1_AML2_then_AMV4_5NF_AMDGR,0.025208905182768367
36,primersNS1_NS41_then_AML1_AML2,0.013032180459715973
37,primersNS1_NS4_then_AML1_AML2,0.010415260429835038
39,primersNS1_NS4_then_NS31_AM1,0.004412834074344884
29,primersAML1_AML2_then_nu_SSU_0595_5__nu_SSU_0948_3_,0.0
33,primersGeoA2_NS4_then_NS31_AML2,0.0
32,primersGeoA2_AML2_then_NS31_AMDGR,0.0
45,sample_typetopsoil,0.0
30,primersAMV4_5F_AMDGR,0.0
