,Variable,Feature_Importance
23,climate_stability_index,1.0
1,CHELSA_BIO_Annual_Mean_Temperature,0.9090369324973876
0,CGIAR_PET,0.8544994501694434
11,EarthEnvTopoMed_Elevation,0.7547166049187353
16,GlobBiomass_AboveGroundBiomass,0.7462117836035391
12,EarthEnvTopoMed_Slope,0.7308153726765831
2,CHELSA_BIO_Annual_Precipitation,0.7114762044193141
4,CHELSA_BIO_Precipitation_Seasonality,0.6507458264858392
25,plant_diversity,0.6409238658455648
24,extraction_dna_mass,0.6377101992507099
21,SG_Soil_pH_H2O_005cm,0.6130680708059342
3,CHELSA_BIO_Max_Temperature_of_Warmest_Month,0.611919819637768
19,SG_SOC_Content_005cm,0.6075369756574973
17,MODIS_NPP,0.5758718529720575
13,EarthEnvTopoMed_TopoPositionIndex,0.5608813853965364
22,area_sampled,0.5542809520651306
20,SG_Sand_Content_005cm,0.5286921343267645
18,SG_Depth_to_bedrock,0.507050038594478
37,primersITS9MUNngs_ITS4ngsUni,0.40298785342714816
6,EarthEnvTexture_CoOfVar_EVI,0.38463260119806586
8,EarthEnvTexture_Homogeneity_EVI,0.3721351294250407
9,EarthEnvTopoMed_AspectCosine,0.3705951150985725
5,ConsensusLandCover_Human_Development_Percentage,0.3536908857682806
10,EarthEnvTopoMed_AspectSine,0.3536134992316253
7,EarthEnvTexture_Correlation_EVI,0.3233372381532633
15,GHS_Population_Density,0.23375911470403837
51,sequencing_platformIllumina,0.2154574597934226
53,sequencing_platformPacBio,0.1830239282503443
48,sample_typesoil,0.14468624288202386
32,primersITS3_ITS4,0.13947380216273614
14,EsaCci_BurntAreasProbability,0.12287243657243767
49,sample_typetopsoil,0.12258480114054945
46,primersgITS7ngs_ITS4ngsUni,0.08740529076282343
50,sequencing_platform454Roche,0.08323356262768337
42,primersgITS7_ITS4_ITS4arch,0.0723345551029471
27,primersITS1F_ITS4,0.06932648405322175
40,primersfITS9_ITS4,0.06475741186532824
41,primersgITS7_ITS4,0.059269140513845145
39,primersfITS7_ITS4,0.05479509171267945
52,sequencing_platformIonTorrent,0.024777721014455193
36,primersITS86F_ITS4,0.024150565767715494
45,primersgITS7_ITS4ngs,0.022961047201818175
26,primers5_8S_Fun_ITS4_Fun,0.00850272176436267
31,primersITS1ngs_ITS4ngs_or_ITS1Fngs_ITS4ngs,0.0077274540863739565
33,primersITS3_KYO2_ITS4,0.003980357044996846
47,sample_typerhizosphere_soil,0.003474153394149043
38,primersITS_S2F___ITS3_mixed_1_1_ITS4,0.002032657534880247
28,primersITS1F_ITS4_then_ITS3_ITS4,0.0014999598470051495
35,primersITS3ngs1_to_ITS3ngs11_ITS4ngs,0.00118780137795952
43,primersgITS7_ITS4_then_ITS9_ITS4,0.0011320989397598422
44,primersgITS7_ITS4m,0.0009468009945933743
29,primersITS1F_ITS4_then_fITS7_ITS4,0.0002906639265503918
30,primersITS1_ITS4,3.6453031653220746e-05
34,primersITS3ngs1_to_5___ITS3ngs10_ITS4ngs,0.0
