,Variable,Feature_Importance
24,ecm_sampling_density,1.0
1,CHELSA_BIO_Annual_Mean_Temperature,0.6659731912742954
23,climate_stability_index,0.6494351030454576
11,EarthEnvTopoMed_Elevation,0.5806298126350733
16,GlobBiomass_AboveGroundBiomass,0.564227439019253
25,extraction_dna_mass,0.5525074690625618
0,CGIAR_PET,0.5274770391328676
2,CHELSA_BIO_Annual_Precipitation,0.4986168654035181
21,SG_Soil_pH_H2O_005cm,0.48688577882509776
12,EarthEnvTopoMed_Slope,0.4591163985346164
3,CHELSA_BIO_Max_Temperature_of_Warmest_Month,0.43941050440257223
22,area_sampled,0.42867046234458633
4,CHELSA_BIO_Precipitation_Seasonality,0.4282688147198366
26,plant_diversity,0.41597328577800063
17,MODIS_NPP,0.39680423967459144
19,SG_SOC_Content_005cm,0.38053986400350637
13,EarthEnvTopoMed_TopoPositionIndex,0.3652593204655429
20,SG_Sand_Content_005cm,0.349001784873654
18,SG_Depth_to_bedrock,0.34042490745057086
38,primersITS9MUNngs_ITS4ngsUni,0.2602932893000211
10,EarthEnvTopoMed_AspectSine,0.2405444983197998
8,EarthEnvTexture_Homogeneity_EVI,0.2375235577003644
6,EarthEnvTexture_CoOfVar_EVI,0.23577107240180717
9,EarthEnvTopoMed_AspectCosine,0.2283501915688712
7,EarthEnvTexture_Correlation_EVI,0.21843919350142404
5,ConsensusLandCover_Human_Development_Percentage,0.1943734973709562
52,sequencing_platformIllumina,0.1544217295587275
54,sequencing_platformPacBio,0.13983347969000656
15,GHS_Population_Density,0.12141021124679978
33,primersITS3_ITS4,0.08774329307237203
51,sequencing_platform454Roche,0.08250287494364231
49,sample_typesoil,0.07853955291386769
50,sample_typetopsoil,0.06447254155462467
14,EsaCci_BurntAreasProbability,0.06349646104989166
42,primersgITS7_ITS4,0.03987479799951659
28,primersITS1F_ITS4,0.038006145622561285
47,primersgITS7ngs_ITS4ngsUni,0.03782174823796936
43,primersgITS7_ITS4_ITS4arch,0.03747035965307989
46,primersgITS7_ITS4ngs,0.030791260250561447
40,primersfITS7_ITS4,0.02911197992274276
41,primersfITS9_ITS4,0.024489566081026985
53,sequencing_platformIonTorrent,0.015057943217682756
27,primers5_8S_Fun_ITS4_Fun,0.010950101428815851
37,primersITS86F_ITS4,0.010541280039611214
34,primersITS3_KYO2_ITS4,0.006371133407558726
48,sample_typerhizosphere_soil,0.0016764924503783131
29,primersITS1F_ITS4_then_ITS3_ITS4,0.0015615730358765274
32,primersITS1ngs_ITS4ngs_or_ITS1Fngs_ITS4ngs,0.0014791521283805656
44,primersgITS7_ITS4_then_ITS9_ITS4,0.00114760531508015
36,primersITS3ngs1_to_ITS3ngs11_ITS4ngs,0.000572664855448035
39,primersITS_S2F___ITS3_mixed_1_1_ITS4,0.0005440450834441743
45,primersgITS7_ITS4m,0.0004450284170092958
30,primersITS1F_ITS4_then_fITS7_ITS4,0.0001600209597545343
31,primersITS1_ITS4,1.028870804938514e-06
35,primersITS3ngs1_to_5___ITS3ngs10_ITS4ngs,0.0
