,r2,rep,buffer_size
0,0.4556738754871239,0,1000
0,0.4711347898790901,1,1000
0,0.45933317916846084,2,1000
0,0.4679684024373263,3,1000
0,0.46385988004810497,4,1000
0,0.4745142276861417,5,1000
0,0.45554589026171133,6,1000
0,0.459632759907451,7,1000
0,0.4593118367505099,8,1000
0,0.4507150257639445,9,1000
0,0.432272095874358,0,2500
0,0.4558313999173905,1,2500
0,0.4426075090378039,2,2500
0,0.4557990813182645,3,2500
0,0.4412430602054703,4,2500
0,0.45499745119152524,5,2500
0,0.4329508766450352,6,2500
0,0.4362568776743465,7,2500
0,0.4381075811876013,8,2500
0,0.43077025427200843,9,2500
0,0.4239950151671317,0,5000
0,0.4465944236543389,1,5000
0,0.4251594152756736,2,5000
0,0.44417718339424717,3,5000
0,0.42580976336201315,4,5000
0,0.44321325903373976,5,5000
0,0.42487891360447816,6,5000
0,0.42083574070076823,7,5000
0,0.4202170134836548,8,5000
0,0.414829502943343,9,5000
0,0.39562128202629865,0,10000
0,0.41962886008000344,1,10000
0,0.3964991055759075,2,10000
0,0.4163073999559854,3,10000
0,0.394441094698025,4,10000
0,0.4126346144821823,5,10000
0,0.3961500200250644,6,10000
0,0.3948184435489136,7,10000
0,0.392258118970522,8,10000
0,0.38811714210284864,9,10000
0,0.3491682666762781,0,50000
0,0.37933074912344633,1,50000
0,0.3551298773874605,2,50000
0,0.36355723364710824,3,50000
0,0.35215257126474264,4,50000
0,0.37438395945553793,5,50000
0,0.3591608824532738,6,50000
0,0.3487540961456781,7,50000
0,0.3483068203630897,8,50000
0,0.3330047308984626,9,50000
0,0.2930002501406811,0,100000
0,0.3213521516565878,1,100000
0,0.2953006542744334,2,100000
0,0.30560865089873257,3,100000
0,0.289931680571588,4,100000
0,0.31162393533113686,5,100000
0,0.28599604314817584,6,100000
0,0.28246753952412196,7,100000
0,0.289654607209599,8,100000
0,0.27084216352745305,9,100000
0,0.22984245154857796,0,250000
0,0.26261153129848935,1,250000
0,0.2326870152183831,2,250000
0,0.2586442051767083,3,250000
0,0.23663033625117547,4,250000
0,0.25532000345968553,5,250000
0,0.22631213873624045,6,250000
0,0.23161618474588686,7,250000
0,0.23710455706767664,8,250000
0,0.22629100901255916,9,250000
0,0.1854267588143952,0,500000
0,0.2013050678310646,1,500000
0,0.17600750576103086,2,500000
0,0.18666028234879617,3,500000
0,0.20334829841615165,4,500000
0,0.19525932405158586,5,500000
0,0.2020889323563817,6,500000
0,0.17502905319754847,7,500000
0,0.18020321217761504,8,500000
0,0.19407008453514152,9,500000
0,0.12758990494050015,0,750000
0,0.14286948497466279,1,750000
0,0.13431862797661187,2,750000
0,0.12891217900545948,3,750000
0,0.17324150989462417,4,750000
0,0.1364423025674355,5,750000
0,0.14974899778182948,6,750000
0,0.1295996748679653,7,750000
0,0.13390439913894592,8,750000
0,0.1562277144846762,9,750000
0,0.12363225810745382,0,1000000
0,0.12861836989095687,1,1000000
0,0.1301046853861355,2,1000000
0,0.10948836269881157,3,1000000
0,0.13853010257954412,4,1000000
0,0.10270754135857019,5,1000000
0,0.12845565799521486,6,1000000
0,0.12729231295192656,7,1000000
0,0.1166803815074543,8,1000000
0,0.11457973375224229,9,1000000
0,0.10632621448792923,0,1500000
0,0.12112624056737287,1,1500000
0,0.14017802192699036,2,1500000
0,0.12007825338738742,3,1500000
0,0.14539030437493372,4,1500000
0,0.13638728106503006,5,1500000
0,0.13464365443666781,6,1500000
0,0.14512382433628057,7,1500000
0,0.11464595422460278,8,1500000
0,0.13221759583041093,9,1500000
0,0.11487602690942322,0,2000000
0,0.11999072983242132,1,2000000
0,0.12940928240983285,2,2000000
0,0.11867501004289405,3,2000000
0,0.12490200960825448,4,2000000
0,0.1164228116703584,5,2000000
0,0.13145039508745848,6,2000000
0,0.1152667091220696,7,2000000
0,0.11688433428227274,8,2000000
0,0.11222763911030476,9,2000000
