,Variable,Feature_Importance
0,CGIAR_Aridity_Index,0.7653935445193473
1,CGIAR_PET,0.6661511007149611
2,CHELSA_BIO_Annual_Mean_Temperature,0.636022541483392
3,CHELSA_BIO_Annual_Precipitation,0.5877981959423122
4,CHELSA_BIO_Max_Temperature_of_Warmest_Month,0.5055677119472365
5,CHELSA_BIO_Precipitation_Seasonality,0.7377037801719225
6,CHELSA_BIO_Precipitation_of_Coldest_Quarter,0.6274135402395429
7,EarthEnvTopoMed_AspectCosine,0.2077315334745636
8,EarthEnvTopoMed_AspectSine,0.3497708737855122
9,EarthEnvTopoMed_Elevation,0.9606548155226653
10,EarthEnvTopoMed_Slope,0.6311999497406399
11,EarthEnvTopoMed_TopoPositionIndex,0.9557013866844131
12,EsaCci_BurntAreasProbability,0.011169808181754667
13,FanEtAl_Depth_to_Water_Table_AnnualMean,0.5178124386043096
14,GlobPermafrost_PermafrostExtent,0.0
15,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,0.16705206036096973
16,SG_Depth_to_bedrock,0.4537951147051948
17,SG_SOC_Content_005cm,0.46761428706340924
18,SG_Sand_Content_005cm,0.48793395421573793
19,SG_Soil_pH_H2O_005cm,0.5391799513333255
20,primers,0.2898518890643648
21,sample_type,0.04511880750679568
22,sequencing_platform,0.5737914647944098
23,target_marker,0.07587605603140155
