,Variable,Feature_Importance
0,CGIAR_Aridity_Index,0.9368369666397749
1,CGIAR_PET,0.8738967935522645
2,CHELSA_BIO_Annual_Mean_Temperature,0.8773648226794709
3,CHELSA_BIO_Annual_Precipitation,0.8169677445019964
4,CHELSA_BIO_Max_Temperature_of_Warmest_Month,0.576843121867829
5,CHELSA_BIO_Precipitation_Seasonality,0.6724784981739722
6,CHELSA_BIO_Precipitation_of_Coldest_Quarter,0.7115990705157371
7,EarthEnvTopoMed_AspectCosine,0.36104225751500124
8,EarthEnvTopoMed_AspectSine,0.6802502571238377
9,EarthEnvTopoMed_Elevation,1.0
10,EarthEnvTopoMed_Slope,0.32679477773348503
11,EarthEnvTopoMed_TopoPositionIndex,0.26414847153398435
12,EsaCci_BurntAreasProbability,0.0
13,FanEtAl_Depth_to_Water_Table_AnnualMean,0.3329237987977113
14,GlobPermafrost_PermafrostExtent,0.03401192867316587
15,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,0.17883707181613498
16,SG_Depth_to_bedrock,0.16896566515049793
17,SG_SOC_Content_005cm,0.6590159559164445
18,SG_Sand_Content_005cm,0.6519025253121664
19,SG_Soil_pH_H2O_005cm,0.8758667365462799
20,primers,0.228836327418486
21,sample_type,0.06773655766454
22,sequencing_platform,0.20931114683416235
23,target_marker,0.06754769516318947
