,Variable,Feature_Importance
0,CGIAR_Aridity_Index,0.605378729627675
1,CGIAR_PET,0.6112617858045276
2,CHELSA_BIO_Annual_Mean_Temperature,0.5217585947955335
3,CHELSA_BIO_Annual_Precipitation,0.6959038844868962
4,CHELSA_BIO_Max_Temperature_of_Warmest_Month,0.3914587383631063
5,CHELSA_BIO_Precipitation_Seasonality,0.5252916034856695
6,CHELSA_BIO_Precipitation_of_Coldest_Quarter,1.0
7,EarthEnvTopoMed_AspectCosine,0.22430382858826797
8,EarthEnvTopoMed_AspectSine,0.4399304090321471
9,EarthEnvTopoMed_Elevation,0.5331367644929654
10,EarthEnvTopoMed_Slope,0.44750795922108244
11,EarthEnvTopoMed_TopoPositionIndex,0.3903057316119204
12,EsaCci_BurntAreasProbability,0.151306825077759
13,FanEtAl_Depth_to_Water_Table_AnnualMean,0.3406881032474099
14,GlobPermafrost_PermafrostExtent,0.0
15,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,0.07334343880901331
16,SG_Depth_to_bedrock,0.3641456311500152
17,SG_SOC_Content_005cm,0.5422283852067291
18,SG_Sand_Content_005cm,0.8516216784553581
19,SG_Soil_pH_H2O_005cm,0.41318161245649687
20,primers,0.19204590706260116
21,sample_type,0.009279434873137586
22,sequencing_platform,0.100246680743697
23,target_marker,0.15851015817581723
