,Variable,Feature_Importance
0,CGIAR_Aridity_Index,0.8018202733751367
1,CGIAR_PET,0.8384577183619257
2,CHELSA_BIO_Annual_Mean_Temperature,0.7238631865832825
3,CHELSA_BIO_Annual_Precipitation,0.7264507282873911
4,CHELSA_BIO_Max_Temperature_of_Warmest_Month,0.7597506964038848
5,CHELSA_BIO_Precipitation_Seasonality,0.7402723662498125
6,CHELSA_BIO_Precipitation_of_Coldest_Quarter,0.9016747536241262
7,EarthEnvTopoMed_AspectCosine,0.2699293725476516
8,EarthEnvTopoMed_AspectSine,1.0
9,EarthEnvTopoMed_Elevation,0.5885045835817776
10,EarthEnvTopoMed_Slope,0.4131995024745671
11,EarthEnvTopoMed_TopoPositionIndex,0.4755579425361657
12,EsaCci_BurntAreasProbability,0.048241776737285205
13,FanEtAl_Depth_to_Water_Table_AnnualMean,0.4146633229932594
14,GlobPermafrost_PermafrostExtent,0.005320065451456411
15,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,0.20231274476235767
16,SG_Depth_to_bedrock,0.22068148244312563
17,SG_SOC_Content_005cm,0.4702931686058145
18,SG_Sand_Content_005cm,0.7038108603579459
19,SG_Soil_pH_H2O_005cm,0.6061557722908694
20,primers,0.1665266277077814
21,sample_type,0.00545483225287021
22,sequencing_platform,0.02202431805684304
23,target_marker,0.10459319146782811
