,Variable,Feature_Importance
0,CGIAR_Aridity_Index,0.8577392145435686
1,CGIAR_PET,0.5986511212349097
2,CHELSA_BIO_Annual_Mean_Temperature,0.8444608382378089
3,CHELSA_BIO_Annual_Precipitation,0.9135311129698197
4,CHELSA_BIO_Max_Temperature_of_Warmest_Month,1.0
5,CHELSA_BIO_Precipitation_Seasonality,0.6151640867894814
6,CHELSA_BIO_Precipitation_of_Coldest_Quarter,0.7894439563147747
7,EarthEnvTopoMed_AspectCosine,0.29707620752244307
8,EarthEnvTopoMed_AspectSine,0.4223466917023623
9,EarthEnvTopoMed_Elevation,0.6182056331801176
10,EarthEnvTopoMed_Slope,0.5191000275113833
11,EarthEnvTopoMed_TopoPositionIndex,0.3329146847608945
12,EsaCci_BurntAreasProbability,0.04514807994120123
13,FanEtAl_Depth_to_Water_Table_AnnualMean,0.3248583413391549
14,GlobPermafrost_PermafrostExtent,0.0
15,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,0.12749664842916442
16,SG_Depth_to_bedrock,0.29519467070390065
17,SG_SOC_Content_005cm,0.7596911082483515
18,SG_Sand_Content_005cm,0.5244952145189863
19,SG_Soil_pH_H2O_005cm,0.9241526130971991
20,primers,0.5037953117519318
21,sample_type,0.671599190285151
22,sequencing_platform,0.4022403433933353
23,target_marker,0.10939839062966314
