,Variable,Feature_Importance
0,CGIAR_Aridity_Index,0.795281006200924
1,CGIAR_PET,0.6784771163051778
2,CHELSA_BIO_Annual_Mean_Temperature,0.7101814005894032
3,CHELSA_BIO_Annual_Precipitation,0.7436255895575461
4,CHELSA_BIO_Max_Temperature_of_Warmest_Month,0.5152057788731824
5,CHELSA_BIO_Precipitation_Seasonality,0.7100922095894723
6,CHELSA_BIO_Precipitation_of_Coldest_Quarter,0.6868910085293465
7,EarthEnvTopoMed_AspectCosine,0.39168633800752894
8,EarthEnvTopoMed_AspectSine,1.0
9,EarthEnvTopoMed_Elevation,0.761226420415484
10,EarthEnvTopoMed_Slope,0.5160836067490103
11,EarthEnvTopoMed_TopoPositionIndex,0.31766078685964977
12,EsaCci_BurntAreasProbability,0.07231573679237763
13,FanEtAl_Depth_to_Water_Table_AnnualMean,0.46414934135678926
14,GlobPermafrost_PermafrostExtent,0.0003530146463288211
15,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,0.341054024846224
16,SG_Depth_to_bedrock,0.16797804679287495
17,SG_SOC_Content_005cm,0.5951187153461925
18,SG_Sand_Content_005cm,0.5913119938748
19,SG_Soil_pH_H2O_005cm,0.7358256554830432
20,primers,0.21948696796038142
21,sample_type,0.01153353965222852
22,sequencing_platform,0.040728383961170324
23,target_marker,0.11026088554232696
