,Variable,Feature_Importance
0,CGIAR_Aridity_Index,0.6056508101666528
1,CGIAR_PET,0.6112591810228273
2,CHELSA_BIO_Annual_Mean_Temperature,0.5215550148220048
3,CHELSA_BIO_Annual_Precipitation,0.6961468272261904
4,CHELSA_BIO_Max_Temperature_of_Warmest_Month,0.39120707355945245
5,CHELSA_BIO_Precipitation_Seasonality,0.5252845080436176
6,CHELSA_BIO_Precipitation_of_Coldest_Quarter,1.0
7,EarthEnvTopoMed_AspectCosine,0.22436747157814613
8,EarthEnvTopoMed_AspectSine,0.4399360530452827
9,EarthEnvTopoMed_Elevation,0.5330332621094852
10,EarthEnvTopoMed_Slope,0.4475387633228866
11,EarthEnvTopoMed_TopoPositionIndex,0.39035584348996616
12,EsaCci_BurntAreasProbability,0.15119120667463373
13,FanEtAl_Depth_to_Water_Table_AnnualMean,0.3414269577674518
14,GlobPermafrost_PermafrostExtent,0.0
15,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,0.07337465960793502
16,SG_Depth_to_bedrock,0.3641624632440008
17,SG_SOC_Content_005cm,0.5425683114752748
18,SG_Sand_Content_005cm,0.8516168708253747
19,SG_Soil_pH_H2O_005cm,0.4131534278751293
20,primers,0.19207711336391162
21,sample_type,0.00927939647420489
22,sequencing_platform,0.10025073167028005
23,target_marker,0.15849164617045253
