,Variable,Feature_Importance
0,CGIAR_Aridity_Index,0.8065935407411946
1,CGIAR_PET,0.9192979964574542
2,CHELSA_BIO_Annual_Mean_Temperature,0.984966488979788
3,CHELSA_BIO_Annual_Precipitation,0.6642469868500367
4,CHELSA_BIO_Max_Temperature_of_Warmest_Month,0.7412823266483979
5,CHELSA_BIO_Precipitation_Seasonality,0.7243793147341792
6,CHELSA_BIO_Precipitation_of_Coldest_Quarter,0.6621502806788289
7,EarthEnvTopoMed_AspectCosine,0.3287316750947577
8,EarthEnvTopoMed_AspectSine,0.43747682207779964
9,EarthEnvTopoMed_Elevation,0.8589104443959791
10,EarthEnvTopoMed_Slope,0.39260836644750086
11,EarthEnvTopoMed_TopoPositionIndex,0.34779447867084595
12,EsaCci_BurntAreasProbability,0.0
13,FanEtAl_Depth_to_Water_Table_AnnualMean,0.40266575894077566
14,GlobPermafrost_PermafrostExtent,0.05851476588440961
15,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,0.39939332107401465
16,SG_Depth_to_bedrock,0.45795541561399744
17,SG_SOC_Content_005cm,0.9726420969530354
18,SG_Sand_Content_005cm,0.6779725368758563
19,SG_Soil_pH_H2O_005cm,0.8144235423025512
20,primers,0.36346748303293547
21,sample_type,0.07196325280896755
22,sequencing_platform,0.4448680995860375
23,target_marker,0.1336021170054281
