,Variable,Feature_Importance
0,CGIAR_Aridity_Index,0.6053840880049054
1,CGIAR_PET,0.6112604750078
2,CHELSA_BIO_Annual_Mean_Temperature,0.5215227477358939
3,CHELSA_BIO_Annual_Precipitation,0.6958159965175573
4,CHELSA_BIO_Max_Temperature_of_Warmest_Month,0.3917016313752693
5,CHELSA_BIO_Precipitation_Seasonality,0.5252947596526807
6,CHELSA_BIO_Precipitation_of_Coldest_Quarter,1.0
7,EarthEnvTopoMed_AspectCosine,0.22430536158434605
8,EarthEnvTopoMed_AspectSine,0.4399314108625222
9,EarthEnvTopoMed_Elevation,0.5331384342202037
10,EarthEnvTopoMed_Slope,0.4475115679044138
11,EarthEnvTopoMed_TopoPositionIndex,0.39030786432311076
12,EsaCci_BurntAreasProbability,0.15118727095789186
13,FanEtAl_Depth_to_Water_Table_AnnualMean,0.3409264070823391
14,GlobPermafrost_PermafrostExtent,0.0
15,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,0.07334430088568698
16,SG_Depth_to_bedrock,0.36415319988665323
17,SG_SOC_Content_005cm,0.5422041775195188
18,SG_Sand_Content_005cm,0.8516246115265025
19,SG_Soil_pH_H2O_005cm,0.41317547646330155
20,primers,0.19223764170537921
21,sample_type,0.009279944745142571
22,sequencing_platform,0.10024783899449648
23,target_marker,0.15831951662443103
