,Variable,Feature_Importance
0,CGIAR_Aridity_Index,0.31284845201383477
1,CGIAR_PET,0.46828718039323947
2,CHELSA_BIO_Annual_Mean_Temperature,0.27675859888971266
3,CHELSA_BIO_Annual_Precipitation,0.24468432444306312
4,CHELSA_BIO_Max_Temperature_of_Warmest_Month,0.22797820128332674
5,CHELSA_BIO_Precipitation_Seasonality,0.46103167353864316
6,CHELSA_BIO_Precipitation_of_Coldest_Quarter,0.34208643856764614
7,EarthEnvTopoMed_AspectCosine,0.1775999765984068
8,EarthEnvTopoMed_AspectSine,0.25760697936822496
9,EarthEnvTopoMed_Elevation,0.23090011710912722
10,EarthEnvTopoMed_Slope,0.20849781007840895
11,EarthEnvTopoMed_TopoPositionIndex,0.24474229367269423
12,EsaCci_BurntAreasProbability,0.012500082568683627
13,FanEtAl_Depth_to_Water_Table_AnnualMean,0.23048338129784715
14,GlobPermafrost_PermafrostExtent,0.0
15,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,0.09193447068214847
16,SG_Depth_to_bedrock,0.05273109841872296
17,SG_SOC_Content_005cm,0.2567510994773338
18,SG_Sand_Content_005cm,0.19868614097568676
19,SG_Soil_pH_H2O_005cm,0.38624968669664655
20,primers,0.29469748330767975
21,sample_type,1.0
22,sequencing_platform,0.07621415843059612
23,target_marker,0.023096726041059057
