,Variable,Feature_Importance
0,CGIAR_Aridity_Index,0.6058350003546868
1,CGIAR_PET,0.6106578313388229
2,CHELSA_BIO_Annual_Mean_Temperature,0.5217366654327562
3,CHELSA_BIO_Annual_Precipitation,0.6957619565456294
4,CHELSA_BIO_Max_Temperature_of_Warmest_Month,0.39143075674257
5,CHELSA_BIO_Precipitation_Seasonality,0.5251532030946345
6,CHELSA_BIO_Precipitation_of_Coldest_Quarter,1.0
7,EarthEnvTopoMed_AspectCosine,0.22428612932638742
8,EarthEnvTopoMed_AspectSine,0.4398859111146011
9,EarthEnvTopoMed_Elevation,0.533037911756741
10,EarthEnvTopoMed_Slope,0.4475200791456858
11,EarthEnvTopoMed_TopoPositionIndex,0.3902831050928957
12,EsaCci_BurntAreasProbability,0.15129652491749582
13,FanEtAl_Depth_to_Water_Table_AnnualMean,0.3406446152104176
14,GlobPermafrost_PermafrostExtent,0.0
15,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,0.0733816935727084
16,SG_Depth_to_bedrock,0.36411707260035764
17,SG_SOC_Content_005cm,0.5422026731768836
18,SG_Sand_Content_005cm,0.8515600045061525
19,SG_Soil_pH_H2O_005cm,0.4131438442653499
20,primers,0.19204568487904433
21,sample_type,0.009282336438711406
22,sequencing_platform,0.10023879898108319
23,target_marker,0.15848383400091076
