,Variable,Feature_Importance
0,CGIAR_Aridity_Index,0.6070053597749925
1,CGIAR_PET,0.611221601194962
2,CHELSA_BIO_Annual_Mean_Temperature,0.521870856686947
3,CHELSA_BIO_Annual_Precipitation,0.6962279289973657
4,CHELSA_BIO_Max_Temperature_of_Warmest_Month,0.3923874598707397
5,CHELSA_BIO_Precipitation_Seasonality,0.5255758063432185
6,CHELSA_BIO_Precipitation_of_Coldest_Quarter,1.0
7,EarthEnvTopoMed_AspectCosine,0.2244041631586274
8,EarthEnvTopoMed_AspectSine,0.43967794782044434
9,EarthEnvTopoMed_Elevation,0.5335207547006513
10,EarthEnvTopoMed_Slope,0.4478373259196725
11,EarthEnvTopoMed_TopoPositionIndex,0.3905495367698043
12,EsaCci_BurntAreasProbability,0.15126170679482825
13,FanEtAl_Depth_to_Water_Table_AnnualMean,0.3410108002099142
14,GlobPermafrost_PermafrostExtent,0.0
15,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,0.07320772276735811
16,SG_Depth_to_bedrock,0.36437096718468115
17,SG_SOC_Content_005cm,0.5429733669327406
18,SG_Sand_Content_005cm,0.8523769272745525
19,SG_Soil_pH_H2O_005cm,0.41406235690907556
20,primers,0.19099219695167188
21,sample_type,0.009283864878736652
22,sequencing_platform,0.10030128117716038
23,target_marker,0.15979915469611733
