,r2,rep,buffer_size
0,0.09816428390805698,0,1000
0,0.08160098011043393,1,1000
0,0.10846691166787437,2,1000
0,0.13166684470836532,3,1000
0,0.10035766983312111,4,1000
0,0.12407437664538201,5,1000
0,0.08538205415224465,6,1000
0,0.11639970120959342,7,1000
0,0.10496072471365392,8,1000
0,0.08498225043403118,9,1000
0,0.09816428390805698,0,2500
0,0.08160098011043393,1,2500
0,0.10846691166787437,2,2500
0,0.13166684470836532,3,2500
0,0.10035766983312111,4,2500
0,0.12407437664538201,5,2500
0,0.08538205415224465,6,2500
0,0.11639970120959342,7,2500
0,0.10496072471365392,8,2500
0,0.08498225043403118,9,2500
0,0.09816428390805698,0,5000
0,0.08160098011043393,1,5000
0,0.10846691166787437,2,5000
0,0.13166684470836532,3,5000
0,0.10035766983312111,4,5000
0,0.12407437664538201,5,5000
0,0.08538205415224465,6,5000
0,0.11639970120959342,7,5000
0,0.10496072471365392,8,5000
0,0.08498225043403118,9,5000
0,0.09816428390805698,0,10000
0,0.08160098011043393,1,10000
0,0.10846691166787437,2,10000
0,0.13166684470836532,3,10000
0,0.10035766983312111,4,10000
0,0.12407437664538201,5,10000
0,0.08538205415224465,6,10000
0,0.11639970120959342,7,10000
0,0.10496072471365392,8,10000
0,0.08498225043403118,9,10000
0,0.09743204794030325,0,50000
0,0.07918367615980748,1,50000
0,0.10817120553586057,2,50000
0,0.12829977421511907,3,50000
0,0.098568154820317,4,50000
0,0.12333765324244672,5,50000
0,0.08259782067603327,6,50000
0,0.11259921937771078,7,50000
0,0.10354969518489043,8,50000
0,0.08406472269538079,9,50000
0,0.0765216336110297,0,100000
0,0.05846777741263387,1,100000
0,0.08377531805471294,2,100000
0,0.10844825074219078,3,100000
0,0.07437744881618757,4,100000
0,0.1063600866114831,5,100000
0,0.060180318897191,6,100000
0,0.0979832749225501,7,100000
0,0.07858034131457647,8,100000
0,0.064446691693537,9,100000
0,-0.007758731945016084,0,250000
0,-0.020337075039549957,1,250000
0,0.0007084404643797892,2,250000
0,0.01806577748047522,3,250000
0,-0.030582429985522852,4,250000
0,0.008469681112733496,5,250000
0,-0.04580936421845605,6,250000
0,0.003968275347856931,7,250000
0,-0.02170720008123661,8,250000
0,-0.011763907268429241,9,250000
0,-0.16576195066838872,0,500000
0,-0.17178441955000823,1,500000
0,-0.15259523025010946,2,500000
0,-0.1673105817823124,3,500000
0,-0.21623157778730384,4,500000
0,-0.22032697860411554,5,500000
0,-0.22716573911964666,6,500000
0,-0.18861105403589096,7,500000
0,-0.206686238246643,8,500000
0,-0.19066873873513157,9,500000
0,-0.16466035198855922,0,750000
0,-0.17216661639033037,1,750000
0,-0.15110451086552779,2,750000
0,-0.1675400987267015,3,750000
0,-0.2157726613609121,4,750000
0,-0.22002960663747428,5,750000
0,-0.2278339122595916,6,750000
0,-0.18754191994735625,7,750000
0,-0.20528502013952532,8,750000
0,-0.1894953842236482,9,750000
0,-0.18416156169784137,0,1000000
0,-0.18523269758278094,1,1000000
0,-0.1724266986425229,2,1000000
0,-0.19278620648274591,3,1000000
0,-0.23593032900393718,4,1000000
0,-0.23516337384615382,5,1000000
0,-0.24709111300643882,6,1000000
0,-0.19701050526413888,7,1000000
0,-0.23093239073057226,8,1000000
0,-0.20540815660592715,9,1000000
