,r2,rep,buffer_size
0,0.5774098380335205,0,1000
0,0.575840483355953,1,1000
0,0.5765333305270138,2,1000
0,0.5828449497124513,3,1000
0,0.5811191438455994,4,1000
0,0.5816452818929174,5,1000
0,0.5890440134714616,6,1000
0,0.5845196755774598,7,1000
0,0.5779014811902065,8,1000
0,0.5833971255079244,9,1000
0,0.5661150478882555,0,2500
0,0.5652955559088616,1,2500
0,0.5628383438821639,2,2500
0,0.5706504525299064,3,2500
0,0.5734347363450346,4,2500
0,0.5662806972805703,5,2500
0,0.5748094481508434,6,2500
0,0.5692872670081957,7,2500
0,0.5669900246031393,8,2500
0,0.5732658975535967,9,2500
0,0.5478896233580796,0,5000
0,0.5484358920504642,1,5000
0,0.5509776933021755,2,5000
0,0.5555122244350523,3,5000
0,0.5549081150989794,4,5000
0,0.5502112201116103,5,5000
0,0.5559051194841349,6,5000
0,0.5510859226794647,7,5000
0,0.5501706303989694,8,5000
0,0.5518414431448107,9,5000
0,0.5182354550521433,0,10000
0,0.5182413892169219,1,10000
0,0.5234421527236943,2,10000
0,0.5330471621430186,3,10000
0,0.5280718678037932,4,10000
0,0.5224488097954201,5,10000
0,0.5279496201567662,6,10000
0,0.5252164167175752,7,10000
0,0.5239117711167096,8,10000
0,0.5244055567930841,9,10000
0,0.450493591824345,0,50000
0,0.45876912627712774,1,50000
0,0.45427971936847955,2,50000
0,0.44643294248037735,3,50000
0,0.45847104467274014,4,50000
0,0.44110107044434665,5,50000
0,0.45503040550201934,6,50000
0,0.45452948725359776,7,50000
0,0.45563678807342367,8,50000
0,0.45280515198954807,9,50000
0,0.408699154509394,0,100000
0,0.41659485941662744,1,100000
0,0.4116937971778101,2,100000
0,0.4013724612527606,3,100000
0,0.41566763559521736,4,100000
0,0.3960873334146986,5,100000
0,0.4165733426229846,6,100000
0,0.40048341533966525,7,100000
0,0.4122757430034021,8,100000
0,0.40858370030265156,9,100000
0,0.2574969270324877,0,250000
0,0.25870686030916656,1,250000
0,0.25899708689041545,2,250000
0,0.25122318853118597,3,250000
0,0.252467066464665,4,250000
0,0.2530371249043136,5,250000
0,0.2653496398605747,6,250000
0,0.25756100298940443,7,250000
0,0.27219611682437805,8,250000
0,0.24469794774220677,9,250000
0,0.22052335482154017,0,500000
0,0.22188155687009226,1,500000
0,0.22666331151029018,2,500000
0,0.22668733700140753,3,500000
0,0.22421827706448705,4,500000
0,0.21852055496910894,5,500000
0,0.219334080094561,6,500000
0,0.23790118420959527,7,500000
0,0.2304767118583404,8,500000
0,0.22098170036201958,9,500000
0,0.1589609918390612,0,750000
0,0.14893652598141716,1,750000
0,0.17457035405464771,2,750000
0,0.151206188103149,3,750000
0,0.16754323264040194,4,750000
0,0.1549206826529732,5,750000
0,0.1459534909900938,6,750000
0,0.16746063601446792,7,750000
0,0.16678981626956513,8,750000
0,0.16512276900472156,9,750000
0,0.12513271944693727,0,1000000
0,0.13956492771771567,1,1000000
0,0.13074626953563306,2,1000000
0,0.12930923902346125,3,1000000
0,0.12456786733064973,4,1000000
0,0.13829994991333838,5,1000000
0,0.11399983379486445,6,1000000
0,0.1558926928941342,7,1000000
0,0.13388995719872965,8,1000000
0,0.13583906074216312,9,1000000
