,Variable,Feature_Importance
0,CGIAR_Aridity_Index,0.493321483296457
1,CGIAR_PET,0.6127460228628141
2,CHELSA_BIO_Annual_Mean_Temperature,1.0
3,CHELSA_BIO_Annual_Precipitation,0.6085099489870526
4,CHELSA_BIO_Max_Temperature_of_Warmest_Month,0.829499677236857
5,CHELSA_BIO_Precipitation_Seasonality,0.7647734771399486
6,CHELSA_BIO_Precipitation_of_Coldest_Quarter,0.7856478052132592
7,EarthEnvTopoMed_AspectCosine,0.2911606731340502
8,EarthEnvTopoMed_AspectSine,0.24351833345597163
9,EarthEnvTopoMed_Elevation,0.4294362900165104
10,EarthEnvTopoMed_Slope,0.37207362323064797
11,EarthEnvTopoMed_TopoPositionIndex,0.3172429257904644
12,EsaCci_BurntAreasProbability,0.7924011074978409
13,FanEtAl_Depth_to_Water_Table_AnnualMean,0.3354074849093524
14,GlobPermafrost_PermafrostExtent,0.0
15,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,0.14465163187651478
16,SG_Depth_to_bedrock,0.21537897579883616
17,SG_SOC_Content_005cm,0.4406854019395525
18,SG_Sand_Content_005cm,0.6104498686562162
19,SG_Soil_pH_H2O_005cm,0.5663921504483795
20,primers,0.17709384287572774
21,sample_type,0.012035725180156652
22,sequencing_platform,0.06579868140966565
23,target_marker,0.18558714798423387
