,Variable,Feature_Importance
0,CGIAR_Aridity_Index,0.7025329311812463
1,CGIAR_PET,0.4622567417442739
2,CHELSA_BIO_Annual_Mean_Temperature,0.49481473133131715
3,CHELSA_BIO_Annual_Precipitation,0.752137753714613
4,CHELSA_BIO_Max_Temperature_of_Warmest_Month,0.6153487602380477
5,CHELSA_BIO_Precipitation_Seasonality,0.5134741707469054
6,CHELSA_BIO_Precipitation_of_Coldest_Quarter,1.0
7,EarthEnvTopoMed_AspectCosine,0.24178466284147282
8,EarthEnvTopoMed_AspectSine,0.5475024111626052
9,EarthEnvTopoMed_Elevation,0.6147425943739948
10,EarthEnvTopoMed_Slope,0.470855286823222
11,EarthEnvTopoMed_TopoPositionIndex,0.294013349387465
12,EsaCci_BurntAreasProbability,0.0034523499491728657
13,FanEtAl_Depth_to_Water_Table_AnnualMean,0.3261274085459457
14,GlobPermafrost_PermafrostExtent,0.00718510932710299
15,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,0.2313205110368104
16,SG_Depth_to_bedrock,0.1743110768268336
17,SG_SOC_Content_005cm,0.43543700364238597
18,SG_Sand_Content_005cm,0.5713158439882552
19,SG_Soil_pH_H2O_005cm,0.8256140049864058
20,primers,0.40747047816625237
21,sample_type,0.020518679988660155
22,sequencing_platform,0.00018141381352933483
23,target_marker,0.02119351386649044
