,Variable,Feature_Importance
0,CGIAR_Aridity_Index,0.5981795103457281
1,CGIAR_PET,0.6104591464178263
2,CHELSA_BIO_Annual_Mean_Temperature,0.5157575122960274
3,CHELSA_BIO_Annual_Precipitation,0.692954364771184
4,CHELSA_BIO_Max_Temperature_of_Warmest_Month,0.3881853903257647
5,CHELSA_BIO_Precipitation_Seasonality,0.5217914906629679
6,CHELSA_BIO_Precipitation_of_Coldest_Quarter,1.0
7,EarthEnvTopoMed_AspectCosine,0.22362008383808277
8,EarthEnvTopoMed_AspectSine,0.4378540310779647
9,EarthEnvTopoMed_Elevation,0.5312795070919714
10,EarthEnvTopoMed_Slope,0.4443554248893342
11,EarthEnvTopoMed_TopoPositionIndex,0.3891116058049602
12,EsaCci_BurntAreasProbability,0.15014077450912108
13,FanEtAl_Depth_to_Water_Table_AnnualMean,0.3412545842988993
14,GlobPermafrost_PermafrostExtent,0.0
15,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,0.07315962678326589
16,SG_Depth_to_bedrock,0.3626266392225218
17,SG_SOC_Content_005cm,0.5437779901096688
18,SG_Sand_Content_005cm,0.8516815932683824
19,SG_Soil_pH_H2O_005cm,0.41123109135571523
20,primers,0.19004292345165769
21,sample_type,0.009958377661680326
22,sequencing_platform,0.09991122246794874
23,target_marker,0.15919626556105282
