,R2_val,rep,buffer_size
0,0.44701047609046385,1,1000
0,0.46748429985884365,2,1000
0,0.41955630783586406,3,1000
0,0.44310009570844755,4,1000
0,0.4438378571053856,5,1000
0,0.4636448532061528,6,1000
0,0.44775869699920445,7,1000
0,0.4784781025291175,8,1000
0,0.40677028511702207,9,1000
0,0.4373204106390094,1,2500
0,0.4547664263299136,2,2500
0,0.40878469730457634,3,2500
0,0.42920151109437,4,2500
0,0.41483421215733285,5,2500
0,0.44473109632806973,6,2500
0,0.42041455952655604,7,2500
0,0.4499931040913371,8,2500
0,0.3846182775145628,9,2500
0,0.41901459848156564,1,5000
0,0.4425688521596427,2,5000
0,0.4008190599619579,3,5000
0,0.41417165186465565,4,5000
0,0.3849637905887866,5,5000
0,0.4302933807837783,6,5000
0,0.4085044526365922,7,5000
0,0.4397948564173485,8,5000
0,0.3643803629071549,9,5000
0,0.3772498996876824,1,10000
0,0.3998128209155474,2,10000
0,0.36896489880460137,3,10000
0,0.36628662616645813,4,10000
0,0.3525829101414114,5,10000
0,0.3874750821747348,6,10000
0,0.3688873319184972,7,10000
0,0.40667366779579905,8,10000
0,0.32980854895048217,9,10000
0,0.31127443768174623,1,50000
0,0.3299920483120501,2,50000
0,0.2955233522626952,3,50000
0,0.29323300623120463,4,50000
0,0.28373930387982393,5,50000
0,0.3149219801750892,6,50000
0,0.2921470115735366,7,50000
0,0.3416314577497105,8,50000
0,0.21724433112192143,9,50000
0,0.283706888864779,1,100000
0,0.29926737554315763,2,100000
0,0.26175827223660453,3,100000
0,0.2614115101991955,4,100000
0,0.2584530723733749,5,100000
0,0.2843867774771508,6,100000
0,0.26599376557433607,7,100000
0,0.3122803670188735,8,100000
0,0.18375659990714088,9,100000
0,0.19183471237575334,1,250000
0,0.19544923984686302,2,250000
0,0.17751226476949378,3,250000
0,0.18426781339640186,4,250000
0,0.16250073939740584,5,250000
0,0.1919336977230338,6,250000
0,0.1527747880492405,7,250000
0,0.19922536905748733,8,250000
0,0.09148470861805358,9,250000
0,0.15001929771237177,1,500000
0,0.16120805594549115,2,500000
0,0.12055442007442585,3,500000
0,0.1340834466747748,4,500000
0,0.1324093920893621,5,500000
0,0.16640260000856655,6,500000
0,0.12413736543651588,7,500000
0,0.1488664087141084,8,500000
0,0.07158046537622131,9,500000
0,0.14334873424745342,1,750000
0,0.15563173519302742,2,750000
0,0.11343587324431215,3,750000
0,0.13457594371503112,4,750000
0,0.1162048264044635,5,750000
0,0.14736393693128347,6,750000
0,0.10624116971229658,7,750000
0,0.1285283648395541,8,750000
0,0.037194556034802706,9,750000
0,0.13432313953189245,1,1000000
0,0.14501545061073973,2,1000000
0,0.12604351804062586,3,1000000
0,0.13926783950693533,4,1000000
0,0.13252743868241013,5,1000000
0,0.15029744502912268,6,1000000
0,0.11370270068833055,7,1000000
0,0.12836598502666985,8,1000000
0,0.05340644806631012,9,1000000
0,0.12626257283073228,1,1500000
0,0.1421477379740066,2,1500000
0,0.095785685970458,3,1500000
0,0.12433634591098897,4,1500000
0,0.12583761847960517,5,1500000
0,0.15469525334155454,6,1500000
0,0.11877217631361514,7,1500000
0,0.13912376118077086,8,1500000
0,0.050643788875607054,9,1500000
0,0.11515292258390375,1,2000000
0,0.1272464472299143,2,2000000
0,0.09447388565546289,3,2000000
0,0.11067819428730974,4,2000000
0,0.08650039706851986,5,2000000
0,0.12970127803184472,6,2000000
0,0.09456555802709321,7,2000000
0,0.11188420516784447,8,2000000
0,0.04103189907583804,9,2000000
