,R2_val,rep,buffer_size
0,0.4154626333740423,4,1000
0,0.4026603064864246,4,2500
0,0.39464443425179563,4,5000
0,0.42635915288854964,1,10000
0,0.3813323248284941,4,10000
0,0.33956216806246564,4,50000
0,0.3149267904161044,4,100000
0,0.26262609539504467,4,250000
0,0.18541570697134624,3,500000
0,0.20673164441749903,4,500000
0,0.14603332209584075,3,750000
0,0.16371821095360006,4,750000
0,0.13645033123231687,3,1000000
0,0.13928237835450963,4,1000000
0,0.10138019059042269,2,1500000
0,0.10299019863586634,3,1500000
0,0.12307956779443996,4,1500000
0,0.1203567085200824,9,1500000
0,0.11150941928700364,2,2000000
0,0.1307492896045861,3,2000000
0,0.13227504159150472,4,2000000
0,0.1512803695672903,9,2000000
