,Variable,Feature_Importance
1,CHELSA_BIO_Annual_Mean_Temperature,1.0
0,CGIAR_PET,0.899459284782546
19,SG_SOC_Content_005cm,0.8627476848195041
3,CHELSA_BIO_Max_Temperature_of_Warmest_Month,0.8336595702677773
4,CHELSA_BIO_Precipitation_Seasonality,0.7869711230872435
5,ConsensusLandCover_Human_Development_Percentage,0.7514247706754521
11,EarthEnvTopoMed_Elevation,0.6741445994845566
2,CHELSA_BIO_Annual_Precipitation,0.6634031087276419
17,MODIS_NPP,0.6353609893220173
20,SG_Sand_Content_005cm,0.5770961277382494
8,EarthEnvTexture_Homogeneity_EVI,0.5755151944259549
16,GlobBiomass_AboveGroundBiomass,0.5718901771834004
21,SG_Soil_pH_H2O_005cm,0.5432357862972026
9,EarthEnvTopoMed_AspectCosine,0.4839034066568367
12,EarthEnvTopoMed_Slope,0.4619825545877155
6,EarthEnvTexture_CoOfVar_EVI,0.41600866493433675
15,GHS_Population_Density,0.3904654635327944
13,EarthEnvTopoMed_TopoPositionIndex,0.3842882599576112
10,EarthEnvTopoMed_AspectSine,0.3822471799802805
7,EarthEnvTexture_Correlation_EVI,0.37730471366693097
37,primersWANDA_AML2,0.34740025635311295
26,primersAMV4_5NF_AMDGR,0.32128981128020456
42,sequencing_platformIllumina,0.26409879662218383
18,SG_Depth_to_bedrock,0.24335953888648426
41,sequencing_platform454Roche,0.24065687250689077
39,sample_typesoil,0.19515098283444268
23,primersAML1_AML2_then_NS31_AM1,0.1929906786627391
38,sample_typerhizosphere_soil,0.1826566488459606
14,EsaCci_BurntAreasProbability,0.15383464665959062
36,primersNS31_AML2,0.11984286694457214
33,primersNS1_NS4_then_AMV4_5NF_AMDGR,0.06442556229045976
29,primersGlomerWT0_Glomer1536_then_NS31_AM1A__GlomerWT0_Glomer1536_then_NS31_AM1B,0.059338321664899205
35,primersNS31_AM1,0.046926464877284566
22,primersAML1_AML2_then_AMV4_5NF_AMDGR,0.029753884004038906
32,primersNS1_NS4_then_AML1_AML2,0.018850531052077252
30,primersGlomerWT0_Glomer1536_then_NS31_AM1A_and_GlomerWT0_Glomer1536_then_NS31_AM1B,0.018816803794059946
34,primersNS1_NS4_then_NS31_AM1,0.015915825403666147
31,primersNS1_NS41_then_AML1_AML2,0.009000384758104786
27,primersGeoA2_AML2_then_NS31_AMDGR,0.0006155421401730338
40,sample_typetopsoil,0.0003676428237448748
24,primersAML1_AML2_then_nu_SSU_0595_5__nu_SSU_0948_3_,0.0001178699077136455
28,primersGeoA2_NS4_then_NS31_AML2,5.879074506815379e-05
25,primersAMV4_5F_AMDGR,0.0
