,Variable,Feature_Importance
0,CGIAR_Aridity_Index,0.7855373965733311
1,CGIAR_PET,0.7219286697629013
2,CHELSA_BIO_Annual_Mean_Temperature,0.6023103217046576
3,CHELSA_BIO_Annual_Precipitation,0.6660769268069426
4,CHELSA_BIO_Max_Temperature_of_Warmest_Month,0.4489905346914963
5,CHELSA_BIO_Precipitation_Seasonality,0.5764545017792787
6,CHELSA_BIO_Precipitation_of_Coldest_Quarter,1.0
7,EarthEnvTopoMed_AspectCosine,0.2830352996566866
8,EarthEnvTopoMed_AspectSine,0.38775263662949716
9,EarthEnvTopoMed_Elevation,0.6376826948101473
10,EarthEnvTopoMed_Slope,0.44909779518366
11,EarthEnvTopoMed_TopoPositionIndex,0.2975924768421822
12,EsaCci_BurntAreasProbability,0.09041363944070847
13,FanEtAl_Depth_to_Water_Table_AnnualMean,0.3632331780456391
14,GlobPermafrost_PermafrostExtent,0.0
15,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,0.12274112692285724
16,SG_Depth_to_bedrock,0.4063981658239796
17,SG_SOC_Content_005cm,0.5424304780515458
18,SG_Sand_Content_005cm,0.8480333197151528
19,SG_Soil_pH_H2O_005cm,0.5029865361299878
