Resolve_Biome,guild,n,median,iqr,cutoff,n_dropped
Boreal Forests,arbuscular_mycorrhizal,1562,0,0,0,103
Boreal Forests,ectomycorrhizal,1562,9.99100017547607,23.4980008602142,127.481004476547,53
Deserts,arbuscular_mycorrhizal,267,6.5,16.5,89,1
Deserts,ectomycorrhizal,267,1,6,31,72
Flooded Grasslands,arbuscular_mycorrhizal,15,17.9979991912842,35.7495002746582,196.745500564575,0
Flooded Grasslands,ectomycorrhizal,15,3,46.7465000152588,236.732500076294,1
Mangroves,arbuscular_mycorrhizal,20,0,5.99925005435944,29.9962502717972,1
Mangroves,ectomycorrhizal,20,9.625,19.9155006408691,109.202503204346,0
Mediterranean Forests,arbuscular_mycorrhizal,609,2,9.66699981689453,50.3349990844727,103
Mediterranean Forests,ectomycorrhizal,609,20.5,64.1189961433411,341.094980716705,339
Montane Grasslands,arbuscular_mycorrhizal,341,6,18.1669998168945,96.8349990844727,2
Montane Grasslands,ectomycorrhizal,341,20.9990005493164,49.9990005493164,270.994003295898,1
Temperate Broadleaf Forests,arbuscular_mycorrhizal,8162,0,2.99900007247925,14.9950003623962,740
Temperate Broadleaf Forests,ectomycorrhizal,8162,38.997501373291,99.1019992828369,534.507497787476,20
Temperate Conifer Forests,arbuscular_mycorrhizal,3890,2,9,47,28
Temperate Conifer Forests,ectomycorrhizal,3890,92.7925033569336,141.081253051758,798.198768615723,15
Temperate Grasslands,arbuscular_mycorrhizal,519,2,11.249499797821,58.2474989891052,47
Temperate Grasslands,ectomycorrhizal,519,1,9.25,47.25,42
Tropical Coniferous Forests,arbuscular_mycorrhizal,93,1,9.9980001449585,50.9900007247925,6
Tropical Coniferous Forests,ectomycorrhizal,93,99.1309967041016,211.636002540588,1157.31100940704,0
Tropical Dry Forests,arbuscular_mycorrhizal,288,0,1,5,30
Tropical Dry Forests,ectomycorrhizal,288,2,2,12,30
Tropical Grasslands,arbuscular_mycorrhizal,237,6,13.6669998168945,74.3349990844727,4
Tropical Grasslands,ectomycorrhizal,237,5,42.1660003662109,215.830001831055,6
Tropical Moist Forests,arbuscular_mycorrhizal,4212,3,9.99899959564209,52.9949979782105,25
Tropical Moist Forests,ectomycorrhizal,4212,72,100.90549993515,576.527499675751,28
Tundra,arbuscular_mycorrhizal,492,0,0,0,93
Tundra,ectomycorrhizal,492,30.9974994659424,92.4124975204468,493.059987068176,1
,arbuscular_mycorrhizal,64,1,2.125,11.625,2
,ectomycorrhizal,64,37.4995002746582,30.2407493591309,188.703247070313,1
