,Variable,Feature_Importance
0,CGIAR_PET,0.8933860182470339
1,CHELSA_BIO_Annual_Mean_Temperature,1.0
2,CHELSA_BIO_Annual_Precipitation,0.7458485449555079
3,CHELSA_BIO_Max_Temperature_of_Warmest_Month,0.8512280344715398
4,CHELSA_BIO_Precipitation_Seasonality,0.7102355366021055
5,ConsensusLandCoverClass_Barren,0.19955759419247848
6,ConsensusLandCoverClass_Deciduous_Broadleaf_Trees,0.5064149077773605
7,ConsensusLandCoverClass_Evergreen_Broadleaf_Trees,0.19621132055521132
8,ConsensusLandCoverClass_Evergreen_Deciduous_Needleleaf_Trees,0.42137632457347485
9,ConsensusLandCoverClass_Herbaceous_Vegetation,0.23672462327725463
10,ConsensusLandCoverClass_Mixed_Other_Trees,0.44305852804396134
11,ConsensusLandCoverClass_Shrubs,0.14592504840982518
12,ConsensusLandCover_Human_Development_Percentage,0.46619883529128786
13,EarthEnvTexture_CoOfVar_EVI,0.45829087336761126
14,EarthEnvTexture_Correlation_EVI,0.391151538635397
15,EarthEnvTexture_Homogeneity_EVI,0.4599262052612817
16,EarthEnvTopoMed_AspectCosine,0.4272366097216058
17,EarthEnvTopoMed_AspectSine,0.41421262388401925
18,EarthEnvTopoMed_Elevation,0.6804125782253518
19,EarthEnvTopoMed_Slope,0.6110055727493144
20,EarthEnvTopoMed_TopoPositionIndex,0.4789488871513048
21,EsaCci_BurntAreasProbability,0.09940230359046547
22,GHS_Population_Density,0.34381503853073736
23,GlobBiomass_AboveGroundBiomass,0.8602354245959859
24,GlobPermafrost_PermafrostExtent,0.11516612489900876
25,MODIS_NPP,0.679433466376438
26,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,0.3492876551595345
27,SG_Depth_to_bedrock,0.35223914744638124
28,SG_SOC_Content_005cm,0.8989581120277558
29,SG_Sand_Content_005cm,0.6553768824276851
30,SG_Soil_pH_H2O_005cm,0.780806608467871
31,primers5_8S_Fun_ITS4_Fun,0.06832010423332485
32,primersITS1F_ITS4,0.1584299645058435
33,primersITS1F_ITS4_then_ITS3_ITS4,0.003091722202227837
34,primersITS1F_ITS4_then_fITS7_ITS4,0.00871588429905901
35,primersITS1_ITS4,0.04503039074513239
36,primersITS1ngs_ITS4ngs_or_ITS1Fngs_ITS4ngs,0.1243181145989037
37,primersITS3_ITS4,0.16762059416143574
38,primersITS3_KYO2_ITS4,0.02275836347999866
39,primersITS3ngs1_to_5___ITS3ngs10_ITS4ngs,0.0
40,primersITS3ngs1_to_ITS3ngs11_ITS4ngs,0.048801785519681486
41,primersITS86F_ITS4,0.056091603422070146
42,primersITS9MUNngs_ITS4ngsUni,0.4897736423134183
43,primersITS_S2F___ITS3_mixed_1_1_ITS4,0.021333805792953006
44,primersfITS7_ITS4,0.0771902230919259
45,primersfITS9_ITS4,0.3591072097685485
46,primersgITS7_ITS4,0.11787767076817042
47,primersgITS7_ITS4_ITS4arch,0.19504564129225196
48,primersgITS7_ITS4_then_ITS9_ITS4,0.001851916153568547
49,primersgITS7_ITS4m,0.002916306191503252
50,primersgITS7_ITS4ngs,0.04055644333483808
51,primersgITS7ngs_ITS4ngsUni,0.016212746638953265
52,sample_typerhizosphere_soil,0.016203766821594127
53,sample_typesoil,0.04981007029826086
54,sample_typetopsoil,0.0407829451595078
55,sequencing_platform454Roche,0.11865804629736595
56,sequencing_platformIllumina,0.13329824463127152
57,sequencing_platformIonTorrent,0.026404974517538777
58,sequencing_platformPacBio,0.29415674145815446
