,Variable,Feature_Importance
1,CHELSA_BIO_Annual_Mean_Temperature,1.0
5,ConsensusLandCover_Human_Development_Percentage,0.86710423674389
27,MEM4,0.8189928697998761
39,SG_SOC_Content_005cm,0.8160127126899541
17,MEM1,0.7903297644671439
0,CGIAR_PET,0.7841368030403497
3,CHELSA_BIO_Max_Temperature_of_Warmest_Month,0.7571864680182492
18,MEM10,0.7193080154397749
32,MEM6,0.7137434671137581
4,CHELSA_BIO_Precipitation_Seasonality,0.6390801641804755
34,MEM8,0.59084366936123
21,MEM18,0.5766706951715388
33,MEM7,0.5670884286709224
19,MEM11,0.5533060675448093
36,MEM9,0.548492985178127
23,MEM20,0.5016085996906758
41,SG_Soil_pH_H2O_005cm,0.4801962389625244
40,SG_Sand_Content_005cm,0.4599531031030087
28,MEM45,0.4474228195906054
31,MEM58,0.44041056173716564
24,MEM30,0.43885473742526904
2,CHELSA_BIO_Annual_Precipitation,0.42844523856480005
26,MEM37,0.4280697013314446
11,EarthEnvTopoMed_Elevation,0.4199608319740865
35,MEM81,0.416033273293183
25,MEM35,0.39664692988513045
20,MEM13,0.3917038144742814
7,EarthEnvTexture_Correlation_EVI,0.3912753090084323
12,EarthEnvTopoMed_Slope,0.39126805409182974
22,MEM19,0.38621349553496653
29,MEM51,0.37454892143722207
37,MODIS_NPP,0.363289912624403
9,EarthEnvTopoMed_AspectCosine,0.3580225599189718
8,EarthEnvTexture_Homogeneity_EVI,0.352046026835322
16,GlobBiomass_AboveGroundBiomass,0.34970364993434433
30,MEM52,0.3474872261196292
46,primersAMV4_5NF_AMDGR,0.33304343331443337
13,EarthEnvTopoMed_TopoPositionIndex,0.3238442935233746
10,EarthEnvTopoMed_AspectSine,0.32267417376696045
15,GHS_Population_Density,0.31481130346997244
62,sequencing_platformIllumina,0.2969512577348007
58,sample_typerhizosphere_soil,0.2955610200977237
59,sample_typesoil,0.28573613098033007
6,EarthEnvTexture_CoOfVar_EVI,0.2795690376826705
61,sequencing_platform454Roche,0.2268794486196825
43,primersAML1_AML2_then_NS31_AM1,0.1847018595673829
57,primersWANDA_AML2,0.15268936747657863
14,EsaCci_BurntAreasProbability,0.13075110041408453
38,SG_Depth_to_bedrock,0.12329712331961629
42,primersAML1_AML2_then_AMV4_5NF_AMDGR,0.03408413633236438
56,primersNS31_AML2,0.02943134312646582
53,primersNS1_NS4_then_AMV4_5NF_AMDGR,0.026238557219311044
49,primersGlomerWT0_Glomer1536_then_NS31_AM1A__GlomerWT0_Glomer1536_then_NS31_AM1B,0.011572030065059847
50,primersGlomerWT0_Glomer1536_then_NS31_AM1A_and_GlomerWT0_Glomer1536_then_NS31_AM1B,0.008595692080742002
52,primersNS1_NS4_then_AML1_AML2,0.004366624835492697
55,primersNS31_AM1,0.0020284397576967985
51,primersNS1_NS41_then_AML1_AML2,0.0014544239755183408
47,primersGeoA2_AML2_then_NS31_AMDGR,0.0008597464935590082
54,primersNS1_NS4_then_NS31_AM1,0.000804405697871928
60,sample_typetopsoil,0.0007318958614965937
48,primersGeoA2_NS4_then_NS31_AML2,7.687164466256064e-05
44,primersAML1_AML2_then_nu_SSU_0595_5__nu_SSU_0948_3_,2.4600849750598484e-05
45,primersAMV4_5F_AMDGR,0.0
