,Variable,Feature_Importance
85,SG_SOC_Content_005cm,0.9989019312879481
87,SG_Soil_pH_H2O_005cm,0.953978618123967
16,GlobBiomass_AboveGroundBiomass,0.9340587418271664
1,CHELSA_BIO_Annual_Mean_Temperature,0.9312741378515594
78,MEM9,0.8462477238382782
3,CHELSA_BIO_Max_Temperature_of_Warmest_Month,0.7547276218103961
57,MEM4,0.7356737421624302
0,CGIAR_PET,0.7148066983017163
17,MEM1,0.6932526031950664
30,MEM2,0.654510884585358
27,MEM17,0.6441327621654421
2,CHELSA_BIO_Annual_Precipitation,0.6412645261351378
62,MEM5,0.6383459060018795
71,MEM7,0.5863987443038378
99,primersITS9MUNngs_ITS4ngsUni,0.5792554679098637
86,SG_Sand_Content_005cm,0.5512961187191012
23,MEM12,0.5361037874269916
11,EarthEnvTopoMed_Elevation,0.5360776455340488
12,EarthEnvTopoMed_Slope,0.5115619383348211
32,MEM21,0.49554513725865945
83,MODIS_NPP,0.4770618017539032
5,ConsensusLandCover_Human_Development_Percentage,0.47481802880623647
4,CHELSA_BIO_Precipitation_Seasonality,0.45165102472985846
65,MEM53,0.4489247147425283
46,MEM31,0.42894467544444054
64,MEM51,0.4258648238105655
82,MEM99,0.42454067283756747
102,primersfITS9_ITS4,0.42262026355275395
81,MEM97,0.4112595080022093
51,MEM34,0.4069243738597336
75,MEM77,0.40492483160095594
41,MEM27,0.402653311495233
33,MEM22,0.4015098083811884
39,MEM26,0.39669912575032906
54,MEM37,0.3946940186703106
115,sequencing_platformPacBio,0.39001113888135325
47,MEM310,0.3860229490784035
24,MEM13,0.3838741546540348
63,MEM50,0.3801529051363519
76,MEM79,0.3781720409298207
72,MEM72,0.37548018695360286
61,MEM49,0.36531321865293703
79,MEM91,0.3631439537915684
48,MEM32,0.36151334388073275
52,MEM35,0.3594226738552794
73,MEM73,0.35929740525292586
77,MEM85,0.3570462011536836
49,MEM33,0.35455849138140383
58,MEM40,0.3543324014927079
56,MEM39,0.3529434588161523
53,MEM36,0.3466380925071531
26,MEM142,0.34627763464185735
59,MEM41,0.3462165513858866
69,MEM61,0.34316200992952384
38,MEM25,0.3414264462766906
6,EarthEnvTexture_CoOfVar_EVI,0.34105563644059556
50,MEM331,0.34085842979782777
70,MEM64,0.3338812986447867
74,MEM75,0.33084283333017017
29,MEM19,0.33017223485413827
60,MEM46,0.3296788937052951
36,MEM23,0.3285010074334128
68,MEM57,0.31644201100375213
31,MEM208,0.3143431216585897
43,MEM28,0.3138981689491621
66,MEM55,0.30757297522805016
45,MEM308,0.3059279083867506
55,MEM386,0.30500605250883017
18,MEM100,0.30384911661823455
13,EarthEnvTopoMed_TopoPositionIndex,0.30288301314778676
80,MEM95,0.2972866201928772
34,MEM224,0.29338248605320194
67,MEM56,0.2919069335282197
21,MEM114,0.29053609348681814
25,MEM132,0.2872773940174481
22,MEM117,0.28556807334743317
8,EarthEnvTexture_Homogeneity_EVI,0.2810597378622465
28,MEM172,0.2809312360714438
9,EarthEnvTopoMed_AspectCosine,0.2768092217265823
42,MEM272,0.2733178645334206
37,MEM231,0.2732096950871474
7,EarthEnvTexture_Correlation_EVI,0.2724087169044616
10,EarthEnvTopoMed_AspectSine,0.2678541038144323
19,MEM108,0.2670564883947887
15,GHS_Population_Density,0.2640810697057866
20,MEM111,0.2582546313524051
35,MEM227,0.24873154975978506
44,MEM294,0.24514620392959574
40,MEM261,0.23939774583885431
84,SG_Depth_to_bedrock,0.23872898160504522
93,primersITS1ngs_ITS4ngs_or_ITS1Fngs_ITS4ngs,0.16439426820896702
104,primersgITS7_ITS4_ITS4arch,0.15066412904219734
89,primersITS1F_ITS4,0.1367211038198507
112,sequencing_platform454Roche,0.11119936618483159
113,sequencing_platformIllumina,0.10343212954108771
94,primersITS3_ITS4,0.09940333433095408
97,primersITS3ngs1_to_ITS3ngs11_ITS4ngs,0.09676498045846113
103,primersgITS7_ITS4,0.08441466684847872
14,EsaCci_BurntAreasProbability,0.05390164093792656
101,primersfITS7_ITS4,0.047534312637726554
107,primersgITS7_ITS4ngs,0.04711000621665089
88,primers5_8S_Fun_ITS4_Fun,0.0422739081813248
110,sample_typesoil,0.04005669096752932
111,sample_typetopsoil,0.036323379217512296
98,primersITS86F_ITS4,0.018683951767161686
109,sample_typerhizosphere_soil,0.012918723175577273
100,primersITS_S2F___ITS3_mixed_1_1_ITS4,0.01275823052206162
92,primersITS1_ITS4,0.011181386700960968
114,sequencing_platformIonTorrent,0.007964704519127886
95,primersITS3_KYO2_ITS4,0.005026286478969895
91,primersITS1F_ITS4_then_fITS7_ITS4,0.0037393854277296404
108,primersgITS7ngs_ITS4ngsUni,0.00189903466782163
106,primersgITS7_ITS4m,0.0012130229863444998
105,primersgITS7_ITS4_then_ITS9_ITS4,0.0006667650945125026
90,primersITS1F_ITS4_then_ITS3_ITS4,0.00014431942755558237
96,primersITS3ngs1_to_5___ITS3ngs10_ITS4ngs,1.2436796922951087e-07
