,Variable,Feature_Importance
1,CHELSA_BIO_Annual_Mean_Temperature,1.0
0,CGIAR_PET,0.872266671522533
3,CHELSA_BIO_Max_Temperature_of_Warmest_Month,0.7578838793580217
19,SG_SOC_Content_005cm,0.7428020349460148
5,ConsensusLandCover_Human_Development_Percentage,0.6856882727127716
4,CHELSA_BIO_Precipitation_Seasonality,0.6451763557332659
20,SG_Sand_Content_005cm,0.537453401158842
11,EarthEnvTopoMed_Elevation,0.5356176240825185
21,SG_Soil_pH_H2O_005cm,0.5068970895068845
2,CHELSA_BIO_Annual_Precipitation,0.4818750032165301
16,GlobBiomass_AboveGroundBiomass,0.4419977284921722
17,MODIS_NPP,0.43286652038405105
12,EarthEnvTopoMed_Slope,0.4246056150644374
8,EarthEnvTexture_Homogeneity_EVI,0.40127745799129333
9,EarthEnvTopoMed_AspectCosine,0.39106763491940766
13,EarthEnvTopoMed_TopoPositionIndex,0.33250701944535865
10,EarthEnvTopoMed_AspectSine,0.3299549537960291
7,EarthEnvTexture_Correlation_EVI,0.3287917668846103
6,EarthEnvTexture_CoOfVar_EVI,0.31409782466159986
23,primersAML1_AML2_then_NS31_AM1,0.3119023226317092
15,GHS_Population_Density,0.300848288109407
39,sample_typesoil,0.2741767635169513
42,sequencing_platformIllumina,0.24047399420920562
41,sequencing_platform454Roche,0.23995056283155058
38,sample_typerhizosphere_soil,0.2301733852638364
26,primersAMV4_5NF_AMDGR,0.2061853117503109
37,primersWANDA_AML2,0.20547949651726127
14,EsaCci_BurntAreasProbability,0.16126168371108968
18,SG_Depth_to_bedrock,0.15492074416433455
36,primersNS31_AML2,0.06397067343957324
33,primersNS1_NS4_then_AMV4_5NF_AMDGR,0.03736176367439005
22,primersAML1_AML2_then_AMV4_5NF_AMDGR,0.024877357601372375
29,primersGlomerWT0_Glomer1536_then_NS31_AM1A__GlomerWT0_Glomer1536_then_NS31_AM1B,0.023982591011837782
30,primersGlomerWT0_Glomer1536_then_NS31_AM1A_and_GlomerWT0_Glomer1536_then_NS31_AM1B,0.006501952068173318
35,primersNS31_AM1,0.006324496683329825
32,primersNS1_NS4_then_AML1_AML2,0.004737716798145827
31,primersNS1_NS41_then_AML1_AML2,0.003429032568533232
27,primersGeoA2_AML2_then_NS31_AMDGR,0.001848417822296708
34,primersNS1_NS4_then_NS31_AM1,0.0010308215239964585
40,sample_typetopsoil,0.0003381786401048738
28,primersGeoA2_NS4_then_NS31_AML2,0.00031303905650766404
24,primersAML1_AML2_then_nu_SSU_0595_5__nu_SSU_0948_3_,9.157364729965776e-05
25,primersAMV4_5F_AMDGR,0.0
