,r2,rep,buffer_size
0,0.5668290722483714,0,1000
0,0.5501978361525481,1,1000
0,0.5405281659403651,2,1000
0,0.5844070798527063,3,1000
0,0.5875283129909845,4,1000
0,0.5792166516971304,5,1000
0,0.5374284993377358,6,1000
0,0.5731097231683191,7,1000
0,0.575605555426608,8,1000
0,0.5586937987510718,9,1000
0,0.5625669686934471,0,2500
0,0.5369910686982826,1,2500
0,0.5271244352430342,2,2500
0,0.5697696075096179,3,2500
0,0.5757871700809484,4,2500
0,0.5771545063371195,5,2500
0,0.5192634460093257,6,2500
0,0.5539992654720575,7,2500
0,0.5562441155239827,8,2500
0,0.5438775377944038,9,2500
0,0.5378935830107685,0,5000
0,0.5170896640018503,1,5000
0,0.5232368939318668,2,5000
0,0.5576376529976604,3,5000
0,0.5589331848602919,4,5000
0,0.5520552933148768,5,5000
0,0.48934659883370757,6,5000
0,0.5374713024873066,7,5000
0,0.5361153550855393,8,5000
0,0.5337719054046526,9,5000
0,0.5093026653285289,0,10000
0,0.4789998810590672,1,10000
0,0.4916527039505123,2,10000
0,0.5347266607988521,3,10000
0,0.532777080742155,4,10000
0,0.5215767631443959,5,10000
0,0.466736557395382,6,10000
0,0.5130456381115698,7,10000
0,0.4963942761819534,8,10000
0,0.5064857139864631,9,10000
0,0.45706580849233713,0,50000
0,0.43265005260889355,1,50000
0,0.43189939298984936,2,50000
0,0.4749767631114016,3,50000
0,0.47895283190887983,4,50000
0,0.4598559055459357,5,50000
0,0.3905773624775355,6,50000
0,0.455330593401448,7,50000
0,0.4313493659056866,8,50000
0,0.425133517522032,9,50000
0,0.4080245313273676,0,100000
0,0.3916042734340722,1,100000
0,0.39187544508687,2,100000
0,0.4177541194952329,3,100000
0,0.420018353976502,4,100000
0,0.41040578196126587,5,100000
0,0.3282673514827761,6,100000
0,0.3786230080358549,7,100000
0,0.40417561067931873,8,100000
0,0.3756316197300681,9,100000
0,0.24859877404163122,0,250000
0,0.2014791617213062,1,250000
0,0.20999455520737853,2,250000
0,0.2898681707723453,3,250000
0,0.26619909488571536,4,250000
0,0.2574483118917307,5,250000
0,0.2018505023295083,6,250000
0,0.2197162107626588,7,250000
0,0.26172823616668217,8,250000
0,0.20167970075363484,9,250000
0,0.19639897124783312,0,500000
0,0.17560783166598137,1,500000
0,0.18209206625613927,2,500000
0,0.20292910510938433,3,500000
0,0.20670232164213576,4,500000
0,0.2481449458212467,5,500000
0,0.1963529536051839,6,500000
0,0.2134988437598866,7,500000
0,0.17254056917242044,8,500000
0,0.17996831585198458,9,500000
0,0.16789519126978802,0,750000
0,0.10136609817261155,1,750000
0,0.10803151892990526,2,750000
0,0.16408984901632584,3,750000
0,0.16844851628422763,4,750000
0,0.15051456648765382,5,750000
0,0.17086752612498235,6,750000
0,0.1476508600561397,7,750000
0,0.17013424669074317,8,750000
0,0.09853503345473003,9,750000
0,0.14350514103533707,0,1000000
0,0.0618654985929612,1,1000000
0,0.09620058200969017,2,1000000
0,0.1397284331924178,3,1000000
0,0.13359716046218917,4,1000000
0,0.09485830176474952,5,1000000
0,0.13190162634483227,6,1000000
0,0.1446987313089847,7,1000000
0,0.11125919082686075,8,1000000
0,0.09023357089348305,9,1000000
0,0.17297596172154273,0,1500000
0,0.1644965621448662,1,1500000
0,0.15499190334603852,2,1500000
0,0.1720539697001009,3,1500000
0,0.1715125799480428,4,1500000
0,0.20885075722657798,5,1500000
0,0.14370239552984332,6,1500000
0,0.1555451934659542,7,1500000
0,0.20181634722289898,8,1500000
0,0.18798918864437275,9,1500000
0,0.06264292423122664,0,2000000
0,0.10644756741544859,1,2000000
0,0.14973777467019045,2,2000000
0,0.10411239721548204,3,2000000
0,0.07899600593602896,4,2000000
0,0.08054334692139409,5,2000000
0,0.14125155004801426,6,2000000
0,0.09371219424584987,7,2000000
0,0.13016363433341327,8,2000000
0,0.09485934913137473,9,2000000
