,r2,rep,buffer_size
0,0.46306804873475327,0,1000
0,0.46794743699277186,1,1000
0,0.45596898183822687,2,1000
0,0.4670071806371583,3,1000
0,0.47172513680373573,4,1000
0,0.4650774624482116,5,1000
0,0.4548330121991976,6,1000
0,0.4638723089364213,7,1000
0,0.4613858621027018,8,1000
0,0.44737466921081637,9,1000
0,0.45247619141918605,0,2500
0,0.44864696932056325,1,2500
0,0.433542502130965,2,2500
0,0.4527216318565813,3,2500
0,0.455023513772269,4,2500
0,0.45002274506458984,5,2500
0,0.4399876453306243,6,2500
0,0.45315794946150634,7,2500
0,0.43269780159575855,8,2500
0,0.4318102857757862,9,2500
0,0.4437509202970886,0,5000
0,0.43384148306057035,1,5000
0,0.42127949049724356,2,5000
0,0.43680746878426113,3,5000
0,0.4379001907573856,4,5000
0,0.4461670914495035,5,5000
0,0.425817177858395,6,5000
0,0.43985034450074856,7,5000
0,0.42011213435126893,8,5000
0,0.4220384980963595,9,5000
0,0.4230268893340995,0,10000
0,0.4207768097425776,1,10000
0,0.4110270606621791,2,10000
0,0.42064614066346306,3,10000
0,0.42462652381148946,4,10000
0,0.41827223708549954,5,10000
0,0.4072779180592907,6,10000
0,0.43192443379360423,7,10000
0,0.40923353431588005,8,10000
0,0.4079710131014508,9,10000
0,0.3901679001719056,0,50000
0,0.38234482317921903,1,50000
0,0.365778500503841,2,50000
0,0.3838933260984124,3,50000
0,0.3915154400200991,4,50000
0,0.38550690264771226,5,50000
0,0.3609242268142573,6,50000
0,0.3781209134998169,7,50000
0,0.37376848027246135,8,50000
0,0.36919712175383523,9,50000
0,0.3760777257501462,0,100000
0,0.34570177178100536,1,100000
0,0.3561362418770905,2,100000
0,0.36260461831463586,3,100000
0,0.35839397963201736,4,100000
0,0.3376325955286379,5,100000
0,0.3453473608453258,6,100000
0,0.3699365310345041,7,100000
0,0.3450729294865027,8,100000
0,0.3456883133853711,9,100000
0,0.3332070947873652,0,250000
0,0.31560863368565606,1,250000
0,0.3185173516535852,2,250000
0,0.3283552987242254,3,250000
0,0.3323145460968947,4,250000
0,0.31475093774908247,5,250000
0,0.32879869675657647,6,250000
0,0.31295142313420565,7,250000
0,0.32617050379253365,8,250000
0,0.3171286768915135,9,250000
0,0.2614599435033761,0,500000
0,0.24454564481136287,1,500000
0,0.25974958261951375,2,500000
0,0.26055430744222585,3,500000
0,0.24130148033039756,4,500000
0,0.26283234808885847,5,500000
0,0.2263030809833101,6,500000
0,0.264830397149181,7,500000
0,0.2452878516751329,8,500000
0,0.23827333678225138,9,500000
0,0.21640437998901685,0,750000
0,0.20506891770672142,1,750000
0,0.21827007847287883,2,750000
0,0.21787046176153135,3,750000
0,0.2013297589327494,4,750000
0,0.19405585572740847,5,750000
0,0.20829195492888242,6,750000
0,0.19815054007961097,7,750000
0,0.21919881747106362,8,750000
0,0.21160729333205386,9,750000
0,0.21510311953367123,0,1000000
0,0.21847925092186415,1,1000000
0,0.18920011499056522,2,1000000
0,0.19723152547156642,3,1000000
0,0.21699948522675527,4,1000000
0,0.22343196708759872,5,1000000
0,0.18646772579861726,6,1000000
0,0.2150822386516561,7,1000000
0,0.2250969021524346,8,1000000
0,0.20424782955625276,9,1000000
0,0.16849515937580095,0,1500000
0,0.18752085207970115,1,1500000
0,0.18324111391198816,2,1500000
0,0.1750442060413241,3,1500000
0,0.18863763643248144,4,1500000
0,0.17873458922132612,5,1500000
0,0.17509947172677998,6,1500000
0,0.1912820668486297,7,1500000
0,0.20072795635546548,8,1500000
0,0.19873147028860494,9,1500000
0,0.13539278959664458,0,2000000
0,0.13832211941365713,1,2000000
0,0.13213194685518403,2,2000000
0,0.11374201339277779,3,2000000
0,0.13769720316980205,4,2000000
0,0.1464188712373331,5,2000000
0,0.11210926493599427,6,2000000
0,0.14127792386973803,7,2000000
0,0.12538677071791016,8,2000000
0,0.12217827527887548,9,2000000
